learner_id,session_id,session_number,timestamp,learning_state,session_duration_minutes,questions_attempted,questions_completed,correct_answers,accuracy,average_response_time_seconds,hints_used,completion_rate,engagement_score,intervention_received,mastery_before,mastery_after,mastery_change,session_quality_score,data_source
learner_0004,session_0004_03,3,2026-01-10T09:00:00,improving,40.15,15,12,10,0.6667,9.62,2,0.8,0.8443,False,0.8446,0.8551,0.0104,0.7755,[SANDBOX DATA]
learner_0004,session_0004_04,4,2026-01-12T09:00:00,improving,17.37,16,13,11,0.6875,12.78,7,0.8125,0.8142,False,0.8551,0.9083,0.0532,0.7191,[SANDBOX DATA]
learner_0004,session_0004_05,5,2026-01-14T09:00:00,improving,22.17,15,12,10,0.6667,20.96,2,0.8,0.8079,False,0.9083,1.0,0.0917,0.7682,[SANDBOX DATA]
learner_0004,session_0004_06,6,2026-01-20T09:00:00,improving,26.44,12,9,9,0.75,14.88,2,0.75,0.6528,False,1.0,1.0,0.0,0.7472,[SANDBOX DATA]
learner_0004,session_0004_07,7,2026-01-22T09:00:00,improving,49.25,11,9,8,0.7273,13.28,3,0.8182,0.8295,False,1.0,1.0,0.0,0.7705,[SANDBOX DATA]
learner_0004,session_0004_08,8,2026-01-25T09:00:00,improving,25.06,12,10,10,0.8333,15.42,5,0.8333,0.7664,False,1.0,1.0,0.0,0.7699,[SANDBOX DATA]
learner_0005,session_0005_01,1,2026-01-01T09:00:00,mastered,26.32,8,6,7,0.875,8.33,0,0.75,0.8532,False,0.8108,0.8108,0.0,0.8644,[SANDBOX DATA]
learner_0005,session_0005_02,2,2026-01-04T09:00:00,mastered,24.62,17,17,11,0.6471,7.86,5,1.0,0.8352,False,0.8108,0.8108,0.0,0.7847,[SANDBOX DATA]
learner_0005,session_0005_03,3,2026-01-10T09:00:00,mastered,17.47,12,12,11,0.9167,7.58,2,1.0,0.8024,False,0.8108,0.8458,0.035,0.898,[SANDBOX DATA]
learner_0005,session_0005_04,4,2026-01-14T09:00:00,mastered,29.42,15,14,13,0.8667,9.6,1,0.9333,0.8047,False,0.8458,0.8676,0.0218,0.8843,[SANDBOX DATA]
learner_0005,session_0005_05,5,2026-01-16T09:00:00,mastered,14.91,17,16,14,0.8235,5.9,2,0.9412,0.8657,False,0.8676,0.8802,0.0126,0.8731,[SANDBOX DATA]
learner_0005,session_0005_06,6,2026-01-18T09:00:00,mastered,12.65,16,16,15,0.9375,10.34,2,1.0,0.873,False,0.8802,0.8839,0.0037,0.9277,[SANDBOX DATA]
learner_0005,session_0005_07,7,2026-01-21T09:00:00,improving,18.32,13,12,9,0.6923,11.92,2,0.9231,0.7672,False,0.8839,0.9427,0.0587,0.7958,[SANDBOX DATA]
learner_0005,session_0005_08,8,2026-01-24T09:00:00,improving,15.06,16,13,9,0.5625,22.4,3,0.8125,0.8091,False,0.9427,0.9587,0.0161,0.7243,[SANDBOX DATA]
learner_0005,session_0005_09,9,2026-01-27T09:00:00,mastered,23.11,19,16,16,0.8421,9.55,4,0.8421,0.8999,False,0.9587,0.9587,0.0,0.8431,[SANDBOX DATA]
learner_0006,session_0006_01,1,2026-01-01T09:00:00,struggling,29.24,10,4,4,0.4,19.5,5,0.4,0.4557,False,0.1969,0.1969,0.0,0.4311,[SANDBOX DATA]
learner_0006,session_0006_02,2,2026-01-04T09:00:00,needs_practice,24.2,13,10,7,0.5385,22.89,6,0.7692,0.5773,False,0.1969,0.251,0.0541,0.6039,[SANDBOX DATA]
learner_0006,session_0006_03,3,2026-01-05T09:00:00,needs_practice,12.89,10,7,5,0.5,11.3,3,0.7,0.6048,True,0.251,0.3157,0.0647,0.611,[SANDBOX DATA]
learner_0006,session_0006_04,4,2026-01-08T09:00:00,improving,51.28,12,9,8,0.6667,18.04,7,0.75,0.6415,False,0.3157,0.3509,0.0352,0.6325,[SANDBOX DATA]
learner_0006,session_0006_05,5,2026-01-13T09:00:00,improving,23.52,12,10,9,0.75,16.51,2,0.8333,0.877,False,0.3509,0.3536,0.0027,0.8129,[SANDBOX DATA]
learner_0006,session_0006_06,6,2026-01-17T09:00:00,mastered,15.97,22,16,17,0.7727,10.15,2,0.7273,0.9428,False,0.3536,0.3579,0.0043,0.8226,[SANDBOX DATA]
learner_0006,session_0006_07,7,2026-01-21T09:00:00,mastered,24.12,13,13,12,0.9231,8.63,1,1.0,0.9801,False,0.3579,0.3664,0.0085,0.9537,[SANDBOX DATA]
learner_0006,session_0006_08,8,2026-01-23T09:00:00,mastered,30.41,16,14,15,0.9375,5.13,0,0.875,0.6944,True,0.3664,0.3907,0.0243,0.8857,[SANDBOX DATA]
learner_0006,session_0006_09,9,2026-01-27T09:00:00,mastered,16.52,10,10,10,1.0,7.05,0,1.0,0.8623,False,0.3907,0.4055,0.0148,0.9725,[SANDBOX DATA]
learner_0006,session_0006_10,10,2026-01-30T09:00:00,mastered,17.92,16,14,12,0.75,10.68,2,0.875,0.8723,False,0.4055,0.4055,0.0,0.8307,[SANDBOX DATA]
learner_0006,session_0006_11,11,2026-02-05T09:00:00,mastered,13.03,12,12,11,0.9167,6.77,1,1.0,0.8847,True,0.4055,0.4454,0.04,0.9311,[SANDBOX DATA]
learner_0006,session_0006_12,12,2026-02-11T09:00:00,mastered,23.87,10,8,10,1.0,12.11,1,0.8,0.8879,False,0.4454,0.4874,0.042,0.9076,[SANDBOX DATA]
learner_0007,session_0007_01,1,2026-01-01T09:00:00,struggling,22.09,12,6,5,0.4167,15.0,10,0.5,0.3176,False,0.3066,0.3549,0.0482,0.3677,[SANDBOX DATA]
learner_0007,session_0007_02,2,2026-01-02T09:00:00,struggling,35.3,6,3,2,0.3333,52.53,3,0.5,0.4399,False,0.3549,0.3549,0.0,0.4296,[SANDBOX DATA]
learner_0007,session_0007_03,3,2026-01-08T09:00:00,struggling,20.87,5,3,2,0.4,40.57,2,0.6,0.3524,True,0.3549,0.3973,0.0424,0.4805,[SANDBOX DATA]
learner_0007,session_0007_04,4,2026-01-13T09:00:00,needs_practice,28.64,12,8,6,0.5,22.77,4,0.6667,0.6449,True,0.3973,0.4511,0.0538,0.604,[SANDBOX DATA]
learner_0007,session_0007_05,5,2026-01-17T09:00:00,struggling,18.59,13,7,4,0.3077,21.51,6,0.5385,0.5342,False,0.4511,0.4511,0.0,0.4568,[SANDBOX DATA]
learner_0007,session_0007_06,6,2026-01-23T09:00:00,improving,46.19,19,15,14,0.7368,38.93,4,0.7895,0.8575,False,0.4511,0.4839,0.0328,0.7847,[SANDBOX DATA]
learner_0007,session_0007_07,7,2026-01-26T09:00:00,improving,25.27,13,12,10,0.7692,17.04,2,0.9231,0.7014,True,0.4839,0.5533,0.0694,0.8095,[SANDBOX DATA]
learner_0007,session_0007_08,8,2026-01-29T09:00:00,improving,15.63,14,13,10,0.7143,16.31,3,0.9286,0.785,False,0.5533,0.5533,0.0,0.7963,[SANDBOX DATA]
learner_0008,session_0008_01,1,2026-01-01T09:00:00,improving,24.76,7,5,6,0.8571,13.18,0,0.7143,0.7134,False,0.6794,0.7142,0.0348,0.8212,[SANDBOX DATA]
learner_0008,session_0008_02,2,2026-01-04T09:00:00,improving,36.09,15,13,12,0.8,9.46,3,0.8667,0.7682,True,0.7142,0.7893,0.075,0.8103,[SANDBOX DATA]
learner_0008,session_0008_03,3,2026-01-05T09:00:00,needs_practice,19.19,8,6,5,0.625,17.21,4,0.75,0.7349,False,0.7893,0.8434,0.0541,0.6532,[SANDBOX DATA]
learner_0008,session_0008_04,4,2026-01-07T09:00:00,needs_practice,22.15,12,8,6,0.5,23.97,4,0.6667,0.6205,False,0.8434,0.8925,0.0491,0.5991,[SANDBOX DATA]
learner_0008,session_0008_05,5,2026-01-08T09:00:00,struggling,24.52,4,3,2,0.5,38.18,2,0.75,0.4431,True,0.8925,0.9016,0.0091,0.5511,[SANDBOX DATA]
learner_0008,session_0008_06,6,2026-01-13T09:00:00,needs_practice,16.41,10,7,7,0.7,17.99,4,0.7,0.6526,True,0.9016,0.9398,0.0383,0.6705,[SANDBOX DATA]
learner_0008,session_0008_07,7,2026-01-18T09:00:00,improving,24.69,7,6,5,0.7143,13.78,2,0.8571,0.8293,True,0.9398,0.9948,0.055,0.773,[SANDBOX DATA]
learner_0008,session_0008_08,8,2026-01-22T09:00:00,mastered,21.02,25,25,22,0.88,10.82,3,1.0,0.7677,False,0.9948,1.0,0.0052,0.8875,[SANDBOX DATA]
learner_0008,session_0008_09,9,2026-01-26T09:00:00,mastered,24.41,25,25,24,0.96,8.76,2,1.0,0.8897,False,1.0,1.0,0.0,0.9479,[SANDBOX DATA]
learner_0009,session_0009_01,1,2026-01-01T09:00:00,improving,25.03,8,6,5,0.625,18.82,0,0.75,0.8954,False,0.582,0.5856,0.0036,0.7853,[SANDBOX DATA]
learner_0009,session_0009_02,2,2026-01-04T09:00:00,improving,17.49,9,8,6,0.6667,18.06,2,0.8889,0.8128,False,0.5856,0.5856,0.0,0.7737,[SANDBOX DATA]
learner_0009,session_0009_03,3,2026-01-08T09:00:00,needs_practice,30.38,13,10,9,0.6923,22.41,6,0.7692,0.5778,False,0.5856,0.6303,0.0447,0.6579,[SANDBOX DATA]
learner_0009,session_0009_04,4,2026-01-12T09:00:00,needs_practice,39.77,16,10,11,0.6875,26.26,7,0.625,0.5513,False,0.6303,0.6639,0.0336,0.6196,[SANDBOX DATA]
learner_0009,session_0009_05,5,2026-01-18T09:00:00,struggling,14.25,10,5,3,0.3,41.62,7,0.5,0.3342,False,0.6639,0.705,0.0411,0.3568,[SANDBOX DATA]
learner_0009,session_0009_06,6,2026-01-24T09:00:00,struggling,20.54,9,5,3,0.3333,32.58,6,0.5556,0.3873,True,0.705,0.705,0.0,0.3997,[SANDBOX DATA]
learner_0009,session_0009_07,7,2026-01-28T09:00:00,struggling,22.07,11,5,5,0.4545,19.07,5,0.4545,0.3564,True,0.705,0.7709,0.0659,0.4531,[SANDBOX DATA]
learner_0009,session_0009_08,8,2026-02-01T09:00:00,needs_practice,20.04,17,12,9,0.5294,30.18,4,0.7059,0.5409,True,0.7709,0.8084,0.0376,0.6229,[SANDBOX DATA]
learner_0009,session_0009_09,9,2026-02-02T09:00:00,improving,22.74,18,15,13,0.7222,7.99,6,0.8333,0.7251,True,0.8084,0.8872,0.0788,0.7395,[SANDBOX DATA]
learner_0009,session_0009_10,10,2026-02-03T09:00:00,improving,25.33,14,11,12,0.8571,7.48,2,0.7857,0.7812,True,0.8872,0.9652,0.078,0.8241,[SANDBOX DATA]
learner_0010,session_0010_01,1,2026-01-01T09:00:00,improving,27.5,16,10,12,0.75,15.01,7,0.625,0.6666,True,0.7471,0.8055,0.0584,0.6646,[SANDBOX DATA]
learner_0010,session_0010_02,2,2026-01-06T09:00:00,mastered,12.75,17,15,17,1.0,8.12,0,0.8824,0.7273,False,0.8055,0.8055,0.0,0.9161,[SANDBOX DATA]
learner_0010,session_0010_03,3,2026-01-07T09:00:00,mastered,13.79,15,13,14,0.9333,6.47,1,0.8667,0.9306,True,0.8055,0.8217,0.0162,0.9161,[SANDBOX DATA]
learner_0010,session_0010_04,4,2026-01-12T09:00:00,mastered,22.31,22,22,21,0.9545,8.44,0,1.0,1.0,False,0.8217,0.8228,0.0011,0.9841,[SANDBOX DATA]
learner_0010,session_0010_05,5,2026-01-18T09:00:00,mastered,11.33,15,13,13,0.8667,7.65,1,0.8667,0.8096,False,0.8228,0.8423,0.0195,0.8686,[SANDBOX DATA]
learner_0010,session_0010_06,6,2026-01-19T09:00:00,mastered,15.17,10,10,8,0.8,5.13,0,1.0,0.8764,False,0.8423,0.8634,0.0212,0.9053,[SANDBOX DATA]
learner_0010,session_0010_07,7,2026-01-22T09:00:00,needs_practice,36.04,13,9,6,0.4615,14.66,5,0.6923,0.6462,False,0.8634,0.8841,0.0207,0.5869,[SANDBOX DATA]
learner_0010,session_0010_08,8,2026-01-23T09:00:00,needs_practice,37.25,7,5,3,0.4286,35.99,2,0.7143,0.6254,False,0.8841,0.8841,0.0,0.5965,[SANDBOX DATA]
learner_0011,session_0011_01,1,2026-01-01T09:00:00,improving,18.92,16,16,11,0.6875,18.92,3,1.0,0.7414,False,0.6204,0.6678,0.0474,0.8014,[SANDBOX DATA]
learner_0011,session_0011_02,2,2026-01-03T09:00:00,improving,21.38,17,15,11,0.6471,18.3,4,0.8824,0.903,False,0.6678,0.7034,0.0356,0.7806,[SANDBOX DATA]
learner_0011,session_0011_03,3,2026-01-09T09:00:00,needs_practice,30.25,13,10,9,0.6923,10.48,5,0.7692,0.6248,False,0.7034,0.7034,0.0,0.6827,[SANDBOX DATA]
learner_0011,session_0011_04,4,2026-01-13T09:00:00,struggling,44.36,13,5,6,0.4615,36.45,7,0.3846,0.3403,True,0.7034,0.7034,0.0,0.4181,[SANDBOX DATA]
learner_0011,session_0011_05,5,2026-01-19T09:00:00,struggling,17.37,7,4,2,0.2857,27.78,4,0.5714,0.4974,True,0.7034,0.7034,0.0,0.4281,[SANDBOX DATA]
learner_0011,session_0011_06,6,2026-01-24T09:00:00,struggling,11.4,11,6,3,0.2727,19.51,4,0.5455,0.3614,True,0.7034,0.7282,0.0247,0.4314,[SANDBOX DATA]
learner_0011,session_0011_07,7,2026-01-29T09:00:00,improving,28.28,18,15,12,0.6667,12.88,4,0.8333,0.7498,True,0.7282,0.7635,0.0353,0.7472,[SANDBOX DATA]
learner_0011,session_0011_08,8,2026-02-04T09:00:00,improving,28.53,24,22,20,0.8333,20.0,7,0.9167,0.8124,False,0.7635,0.8079,0.0444,0.825,[SANDBOX DATA]
learner_0011,session_0011_09,9,2026-02-06T09:00:00,mastered,19.15,18,17,15,0.8333,8.64,1,0.9444,0.9799,True,0.8079,0.8438,0.0359,0.9126,[SANDBOX DATA]
learner_0011,session_0011_10,10,2026-02-10T09:00:00,improving,41.93,4,3,2,0.5,26.23,0,0.75,0.826,False,0.8438,0.9183,0.0746,0.7277,[SANDBOX DATA]
learner_0011,session_0011_11,11,2026-02-13T09:00:00,improving,21.05,10,9,7,0.7,18.24,3,0.9,0.7465,False,0.9183,0.9241,0.0058,0.7593,[SANDBOX DATA]
learner_0012,session_0012_01,1,2026-01-01T09:00:00,improving,54.55,13,11,9,0.6923,16.86,2,0.8462,0.7071,False,0.4772,0.5452,0.068,0.7645,[SANDBOX DATA]
learner_0012,session_0012_02,2,2026-01-07T09:00:00,mastered,16.37,12,11,9,0.75,9.55,1,0.9167,0.6436,False,0.5452,0.577,0.0318,0.8037,[SANDBOX DATA]
learner_0012,session_0012_03,3,2026-01-09T09:00:00,mastered,20.42,17,17,15,0.8824,9.68,4,1.0,0.8555,False,0.577,0.5871,0.0101,0.8829,[SANDBOX DATA]
learner_0012,session_0012_04,4,2026-01-14T09:00:00,improving,21.77,13,11,12,0.9231,15.41,2,0.8462,0.857,False,0.5871,0.6108,0.0237,0.8753,[SANDBOX DATA]
learner_0012,session_0012_05,5,2026-01-18T09:00:00,improving,35.33,14,12,8,0.5714,9.78,4,0.8571,0.87,False,0.6108,0.6108,0.0,0.7311,[SANDBOX DATA]
learner_0012,session_0012_06,6,2026-01-23T09:00:00,needs_practice,62.48,20,14,15,0.75,24.25,8,0.7,0.6464,False,0.6108,0.6108,0.0,0.6868,[SANDBOX DATA]
learner_0012,session_0012_07,7,2026-01-25T09:00:00,needs_practice,18.55,8,5,4,0.5,20.85,3,0.625,0.5917,True,0.6108,0.6524,0.0416,0.5746,[SANDBOX DATA]
learner_0012,session_0012_08,8,2026-01-27T09:00:00,improving,20.51,11,7,8,0.7273,14.08,2,0.6364,0.7765,True,0.6524,0.7263,0.074,0.7326,[SANDBOX DATA]
learner_0013,session_0013_01,1,2026-01-01T09:00:00,improving,13.87,14,11,7,0.5,10.25,3,0.7857,0.7649,False,0.5608,0.6328,0.072,0.6816,[SANDBOX DATA]
learner_0013,session_0013_02,2,2026-01-06T09:00:00,improving,11.84,14,14,11,0.7857,20.14,5,1.0,0.7032,False,0.6328,0.6356,0.0028,0.7942,[SANDBOX DATA]
learner_0013,session_0013_03,3,2026-01-07T09:00:00,struggling,37.4,10,4,3,0.3,22.84,6,0.4,0.3697,True,0.6356,0.6929,0.0574,0.3589,[SANDBOX DATA]
learner_0013,session_0013_04,4,2026-01-13T09:00:00,struggling,23.1,11,7,2,0.1818,18.0,10,0.6364,0.2429,True,0.6929,0.7512,0.0582,0.2895,[SANDBOX DATA]
learner_0013,session_0013_05,5,2026-01-19T09:00:00,needs_practice,23.46,11,7,3,0.2727,28.39,3,0.6364,0.5091,False,0.7512,0.7668,0.0157,0.5018,[SANDBOX DATA]
learner_0013,session_0013_06,6,2026-01-20T09:00:00,improving,29.29,13,12,11,0.8462,10.89,4,0.9231,0.8812,True,0.7668,0.8426,0.0758,0.8416,[SANDBOX DATA]
learner_0013,session_0013_07,7,2026-01-26T09:00:00,improving,26.77,11,10,8,0.7273,15.36,5,0.9091,1.0,False,0.8426,0.8957,0.0531,0.7909,[SANDBOX DATA]
learner_0013,session_0013_08,8,2026-01-27T09:00:00,improving,25.41,17,16,13,0.7647,21.07,5,0.9412,0.81,False,0.8957,0.9102,0.0145,0.8061,[SANDBOX DATA]
learner_0013,session_0013_09,9,2026-01-28T09:00:00,improving,26.31,9,8,7,0.7778,8.83,2,0.8889,0.7637,False,0.9102,0.9678,0.0576,0.8027,[SANDBOX DATA]
learner_0013,session_0013_10,10,2026-02-01T09:00:00,mastered,22.59,13,12,11,0.8462,12.06,1,0.9231,0.8395,False,0.9678,0.9908,0.023,0.8794,[SANDBOX DATA]
learner_0014,session_0014_01,1,2026-01-01T09:00:00,needs_practice,34.37,10,7,7,0.7,30.75,2,0.7,0.6202,True,0.3066,0.3332,0.0266,0.704,[SANDBOX DATA]
learner_0014,session_0014_02,2,2026-01-04T09:00:00,mastered,21.07,19,18,18,0.9474,9.86,3,0.9474,0.7599,False,0.3332,0.3401,0.0069,0.8888,[SANDBOX DATA]
learner_0014,session_0014_03,3,2026-01-10T09:00:00,mastered,14.39,14,13,13,0.9286,8.69,3,0.9286,0.7542,False,0.3401,0.3472,0.007,0.8651,[SANDBOX DATA]
learner_0014,session_0014_04,4,2026-01-14T09:00:00,mastered,15.29,13,12,12,0.9231,6.79,1,0.9231,0.694,False,0.3472,0.3907,0.0435,0.8773,[SANDBOX DATA]
learner_0014,session_0014_05,5,2026-01-18T09:00:00,mastered,19.71,20,19,18,0.9,8.75,4,0.95,0.8333,False,0.3907,0.4148,0.0241,0.8792,[SANDBOX DATA]
learner_0014,session_0014_06,6,2026-01-19T09:00:00,mastered,11.04,9,9,7,0.7778,7.88,1,1.0,0.8727,False,0.4148,0.4266,0.0118,0.8745,[SANDBOX DATA]
learner_0014,session_0014_07,7,2026-01-20T09:00:00,mastered,15.02,14,13,12,0.8571,7.33,0,0.9286,0.9982,False,0.4266,0.4266,0.0,0.9318,[SANDBOX DATA]
learner_0014,session_0014_08,8,2026-01-24T09:00:00,mastered,14.71,19,17,18,0.9474,7.42,3,0.8947,0.8347,False,0.4266,0.451,0.0244,0.8906,[SANDBOX DATA]
learner_0014,session_0014_09,9,2026-01-30T09:00:00,mastered,39.81,17,15,14,0.8235,7.41,2,0.8824,0.7958,False,0.451,0.451,0.0,0.8445,[SANDBOX DATA]
learner_0015,session_0015_01,1,2026-01-01T09:00:00,needs_practice,26.91,12,9,5,0.4167,36.25,5,0.75,0.5123,False,0.3211,0.3211,0.0,0.5525,[SANDBOX DATA]
learner_0015,session_0015_02,2,2026-01-04T09:00:00,improving,33.18,14,13,9,0.6429,18.44,3,0.9286,0.6526,True,0.3211,0.3999,0.0788,0.7448,[SANDBOX DATA]
learner_0015,session_0015_03,3,2026-01-08T09:00:00,improving,22.5,17,14,12,0.7059,14.35,7,0.8235,0.7768,True,0.3999,0.4582,0.0583,0.726,[SANDBOX DATA]
learner_0015,session_0015_04,4,2026-01-11T09:00:00,mastered,9.19,22,17,19,0.8636,11.44,7,0.7727,0.9019,False,0.4582,0.4758,0.0176,0.8122,[SANDBOX DATA]
learner_0015,session_0015_05,5,2026-01-16T09:00:00,mastered,24.95,16,16,12,0.75,10.91,0,1.0,0.8096,False,0.4758,0.5037,0.0279,0.8744,[SANDBOX DATA]
learner_0015,session_0015_06,6,2026-01-22T09:00:00,needs_practice,22.08,17,13,9,0.5294,14.69,7,0.7647,0.627,False,0.5037,0.5172,0.0135,0.6195,[SANDBOX DATA]
learner_0015,session_0015_07,7,2026-01-27T09:00:00,improving,20.35,9,8,5,0.5556,10.12,1,0.8889,0.6905,True,0.5172,0.5973,0.0801,0.7326,[SANDBOX DATA]
learner_0015,session_0015_08,8,2026-01-30T09:00:00,mastered,16.21,8,8,7,0.875,8.63,1,1.0,0.7682,False,0.5973,0.5973,0.0,0.8849,[SANDBOX DATA]
learner_0015,session_0015_09,9,2026-02-02T09:00:00,mastered,19.92,22,20,20,0.9091,11.19,2,0.9091,0.7845,False,0.5973,0.5973,0.0,0.8842,[SANDBOX DATA]
learner_0016,session_0016_01,1,2026-01-01T09:00:00,improving,14.15,16,14,8,0.5,16.25,4,0.875,0.6551,False,0.5579,0.6285,0.0706,0.6748,[SANDBOX DATA]
learner_0016,session_0016_02,2,2026-01-05T09:00:00,improving,11.75,5,4,3,0.6,17.18,0,0.8,0.7356,True,0.6285,0.7123,0.0838,0.7571,[SANDBOX DATA]
learner_0016,session_0016_03,3,2026-01-09T09:00:00,needs_practice,19.98,13,8,6,0.4615,29.16,3,0.6154,0.5325,False,0.7123,0.7123,0.0,0.5757,[SANDBOX DATA]
