item_id,question_index,difficulty_b,discrimination_a,source_difficulty,competency,data_source
item_0090,90,0.3512,1.6466,hard,Population and housing census methodology,[SANDBOX DATA]
item_0091,91,-0.8874,1.9626,easy,Population and housing census methodology,[SANDBOX DATA]
item_0092,92,-1.0517,1.0086,easy,Population and housing census methodology,[SANDBOX DATA]
item_0093,93,-0.5443,1.2501,easy,Population and housing census methodology,[SANDBOX DATA]
item_0094,94,0.3763,1.1855,medium,Population and housing census methodology,[SANDBOX DATA]
item_0095,95,0.2316,0.9919,medium,Population and housing census methodology,[SANDBOX DATA]
item_0096,96,0.5859,1.9859,medium,Population and housing census methodology,[SANDBOX DATA]
item_0097,97,1.2043,1.0046,hard,Population and housing census methodology,[SANDBOX DATA]
item_0098,98,-1.8641,1.5631,hard,Population and housing census methodology,[SANDBOX DATA]
item_0099,99,0.7065,1.0525,easy,Population and housing census methodology,[SANDBOX DATA]
item_0100,100,-1.3238,1.588,easy,Population and housing census methodology,[SANDBOX DATA]
item_0101,101,1.1217,1.6744,easy,Population and housing census methodology,[SANDBOX DATA]
item_0102,102,0.1727,1.5821,medium,Population and housing census methodology,[SANDBOX DATA]
item_0103,103,1.2932,1.4435,medium,Population and housing census methodology,[SANDBOX DATA]
item_0104,104,0.3201,0.7217,medium,Population and housing census methodology,[SANDBOX DATA]
item_0105,105,-0.3767,1.9223,hard,Population and housing census methodology,[SANDBOX DATA]
item_0106,106,-0.6832,1.5358,hard,Population and housing census methodology,[SANDBOX DATA]
item_0107,107,-0.7439,1.8808,hard,Population and housing census methodology,[SANDBOX DATA]
item_0108,108,0.0637,1.4933,easy,Population and housing census methodology,[SANDBOX DATA]
item_0109,109,1.075,0.7598,easy,Population and housing census methodology,[SANDBOX DATA]
item_0110,110,1.672,1.0314,easy,Population and housing census methodology,[SANDBOX DATA]
item_0111,111,0.8505,1.465,medium,Population and housing census methodology,[SANDBOX DATA]
item_0112,112,-0.984,0.7884,medium,Population and housing census methodology,[SANDBOX DATA]
item_0113,113,1.1551,0.8373,medium,Population and housing census methodology,[SANDBOX DATA]
item_0114,114,-1.7022,0.9335,hard,Population and housing census methodology,[SANDBOX DATA]
item_0115,115,0.6975,0.9756,hard,Population and housing census methodology,[SANDBOX DATA]
item_0116,116,0.4885,0.6828,hard,Population and housing census methodology,[SANDBOX DATA]
item_0117,117,0.7365,1.9702,easy,Population and housing census methodology,[SANDBOX DATA]
item_0118,118,0.562,0.9314,easy,Population and housing census methodology,[SANDBOX DATA]
item_0119,119,-0.8021,1.1636,easy,Population and housing census methodology,[SANDBOX DATA]
item_0120,120,0.9881,0.8031,medium,Population and housing census methodology,[SANDBOX DATA]
item_0121,121,-1.6191,1.5443,medium,Population and housing census methodology,[SANDBOX DATA]
item_0122,122,-1.3382,1.3802,hard,Population and housing census methodology,[SANDBOX DATA]
item_0123,123,0.2498,1.2966,hard,Population and housing census methodology,[SANDBOX DATA]
item_0124,124,0.4146,1.12,medium,Population and housing census methodology,[SANDBOX DATA]
item_0125,125,1.2412,1.6561,medium,Population and housing census methodology,[SANDBOX DATA]
item_0126,126,1.2423,1.9025,medium,Population and housing census methodology,[SANDBOX DATA]
item_0127,127,1.1724,0.7992,hard,Population and housing census methodology,[SANDBOX DATA]
item_0128,128,0.2736,1.4688,hard,Population and housing census methodology,[SANDBOX DATA]
item_0129,129,1.4144,1.5847,hard,Population and housing census methodology,[SANDBOX DATA]
item_0130,130,0.1468,1.2431,easy,Population and housing census methodology,[SANDBOX DATA]
item_0131,131,1.1321,1.9078,easy,Population and housing census methodology,[SANDBOX DATA]
item_0132,132,-0.7934,0.7892,easy,Population and housing census methodology,[SANDBOX DATA]
item_0133,133,-0.5117,1.1884,medium,Population and housing census methodology,[SANDBOX DATA]
item_0134,134,1.1541,1.6049,medium,Population and housing census methodology,[SANDBOX DATA]
item_0135,135,0.0287,1.6359,medium,Population and housing census methodology,[SANDBOX DATA]
item_0136,136,-0.6292,1.5039,hard,Population and housing census methodology,[SANDBOX DATA]
item_0137,137,-0.5847,0.9854,hard,Population and housing census methodology,[SANDBOX DATA]
item_0138,138,-1.2261,0.8533,hard,Population and housing census methodology,[SANDBOX DATA]
item_0139,139,0.8581,0.5172,easy,Population and housing census methodology,[SANDBOX DATA]
item_0140,140,-0.9448,0.5932,easy,Population and housing census methodology,[SANDBOX DATA]
item_0141,141,0.0412,1.1081,easy,Population and housing census methodology,[SANDBOX DATA]
item_0142,142,-0.3674,1.5553,medium,Population and housing census methodology,[SANDBOX DATA]
item_0143,143,-0.9124,1.8742,medium,Population and housing census methodology,[SANDBOX DATA]
item_0144,144,-0.7423,0.8287,medium,Population and housing census methodology,[SANDBOX DATA]
item_0145,145,0.3105,1.6216,hard,Population and housing census methodology,[SANDBOX DATA]
item_0146,146,-0.1082,1.3239,hard,Population and housing census methodology,[SANDBOX DATA]
item_0147,147,-0.6419,1.4961,hard,Population and housing census methodology,[SANDBOX DATA]
item_0148,148,-0.3084,1.6321,easy,Population and housing census methodology,[SANDBOX DATA]
item_0149,149,0.1173,0.6172,easy,Population and housing census methodology,[SANDBOX DATA]
item_0150,150,0.022,1.3215,easy,Population and housing census methodology,[SANDBOX DATA]
item_0151,151,-0.6147,0.7248,easy,Population and housing census methodology,[SANDBOX DATA]
item_0152,152,-1.2124,0.6744,easy,Population and housing census methodology,[SANDBOX DATA]
item_0153,153,0.093,0.6364,medium,Population and housing census methodology,[SANDBOX DATA]
item_0154,154,0.0418,1.1801,medium,Population and housing census methodology,[SANDBOX DATA]
item_0155,155,-0.3343,0.5866,medium,Population and housing census methodology,[SANDBOX DATA]
item_0156,156,-0.9725,1.5849,hard,Population and housing census methodology,[SANDBOX DATA]
item_0157,157,0.1407,1.6187,hard,Population and housing census methodology,[SANDBOX DATA]
item_0158,158,-0.6767,1.0168,hard,Population and housing census methodology,[SANDBOX DATA]
item_0159,159,-1.5463,1.6487,easy,Population and housing census methodology,[SANDBOX DATA]
item_0160,160,-0.6724,1.8602,easy,Population and housing census methodology,[SANDBOX DATA]
item_0161,161,0.1946,1.4927,easy,Population and housing census methodology,[SANDBOX DATA]
item_0162,162,-1.192,1.0217,medium,Population and housing census methodology,[SANDBOX DATA]
item_0163,163,0.5029,1.2933,medium,Population and housing census methodology,[SANDBOX DATA]
item_0164,164,-1.1669,0.5052,medium,Population and housing census methodology,[SANDBOX DATA]
item_0165,165,0.1629,1.5102,hard,Population and housing census methodology,[SANDBOX DATA]
item_0166,166,-0.6625,1.735,hard,Population and housing census methodology,[SANDBOX DATA]
item_0167,167,-0.5922,0.9135,hard,Population and housing census methodology,[SANDBOX DATA]
item_0168,168,0.5654,1.8256,hard,Population and housing census methodology,[SANDBOX DATA]
item_0169,169,0.6904,0.573,hard,Population and housing census methodology,[SANDBOX DATA]
item_0170,170,-1.5338,0.8515,easy,Population and housing census methodology,[SANDBOX DATA]
item_0171,171,2.0178,0.9339,medium,Population and housing census methodology,[SANDBOX DATA]
item_0172,172,0.513,0.9784,medium,Population and housing census methodology,[SANDBOX DATA]
item_0173,173,-0.3969,0.981,medium,Population and housing census methodology,[SANDBOX DATA]
item_0174,174,-0.6841,1.4903,easy,Population and housing census methodology,[SANDBOX DATA]
item_0175,175,1.8879,0.5914,easy,Population and housing census methodology,[SANDBOX DATA]
item_0176,176,-0.2711,1.1408,hard,Population and housing census methodology,[SANDBOX DATA]
item_0177,177,1.3723,1.9124,hard,Population and housing census methodology,[SANDBOX DATA]
item_0178,178,-0.1687,0.9781,easy,Population and housing census methodology,[SANDBOX DATA]
item_0179,179,0.829,1.0647,easy,Population and housing census methodology,[SANDBOX DATA]
item_0180,180,-1.169,1.774,easy,Population and housing census methodology,[SANDBOX DATA]
item_0181,181,1.6259,1.7087,medium,Population and housing census methodology,[SANDBOX DATA]
item_0182,182,0.1135,1.9517,medium,Population and housing census methodology,[SANDBOX DATA]
item_0183,183,-1.4405,0.8643,medium,Population and housing census methodology,[SANDBOX DATA]
item_0184,184,0.4759,1.8833,hard,Population and housing census methodology,[SANDBOX DATA]
item_0185,185,0.7503,0.9027,hard,Population and housing census methodology,[SANDBOX DATA]
item_0186,186,-2.2449,1.8104,hard,Population and housing census methodology,[SANDBOX DATA]
item_0187,187,0.1939,1.5865,easy,Population and housing census methodology,[SANDBOX DATA]
item_0188,188,-1.1163,1.8042,easy,Population and housing census methodology,[SANDBOX DATA]
item_0189,189,1.5899,0.8068,easy,Population and housing census methodology,[SANDBOX DATA]
item_0190,190,-0.439,1.6633,medium,Population and housing census methodology,[SANDBOX DATA]
item_0191,191,-0.8396,1.0389,medium,Population and housing census methodology,[SANDBOX DATA]
item_0192,192,-0.3266,1.2459,hard,Population and housing census methodology,[SANDBOX DATA]
item_0193,193,-0.3785,1.8715,hard,Population and housing census methodology,[SANDBOX DATA]
item_0194,194,-0.5599,1.3438,hard,Population and housing census methodology,[SANDBOX DATA]
item_0195,195,1.7722,0.8912,medium,Population and housing census methodology,[SANDBOX DATA]
item_0196,196,-0.8898,1.1264,medium,Population and housing census methodology,[SANDBOX DATA]
item_0197,197,1.1422,1.0698,medium,Population and housing census methodology,[SANDBOX DATA]
item_0198,198,0.427,1.4819,easy,Population and housing census methodology,[SANDBOX DATA]
item_0199,199,-0.0194,1.7324,easy,Population and housing census methodology,[SANDBOX DATA]
item_0200,200,-2.0286,1.6925,hard,Population and housing census methodology,[SANDBOX DATA]
