learner_id,interaction_id,item_id,competency_id,timestamp,difficulty,correct,response_time_sec,hint_used,attempt_number,mastery_before,mastery_after,learning_state,data_source
learner_0001,learner_0001_interaction_013,item_0099,Population and housing census methodology,2026-01-04T11:08:00,easy,0,52.21,0,13,0.1789,0.1834,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_014,item_0175,Population and housing census methodology,2026-01-04T11:16:00,easy,0,24.95,0,14,0.1834,0.1774,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_015,item_0076,Population and housing census methodology,2026-01-04T11:24:00,medium,0,20.81,0,15,0.1774,0.1627,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_016,item_0161,Population and housing census methodology,2026-01-04T11:29:00,easy,1,26.51,0,16,0.1627,0.5544,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_017,item_0154,Population and housing census methodology,2026-01-04T11:36:00,medium,1,48.39,1,17,0.5544,0.8825,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_018,item_0022,Population and housing census methodology,2026-01-04T11:46:00,medium,1,12.83,0,18,0.8825,0.989,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_019,item_0068,Population and housing census methodology,2026-01-04T12:03:00,medium,1,56.63,0,19,0.989,1.0,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_020,item_0172,Population and housing census methodology,2026-01-04T12:18:00,medium,1,30.47,0,20,1.0,0.9917,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_021,item_0006,Population and housing census methodology,2026-01-04T12:30:00,medium,1,23.78,0,21,0.9917,1.0,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_022,item_0018,Population and housing census methodology,2026-01-04T12:41:00,medium,0,19.42,0,22,1.0,1.0,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_023,item_0139,Population and housing census methodology,2026-01-04T12:59:00,easy,1,26.63,0,23,1.0,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_024,item_0049,Population and housing census methodology,2026-01-04T13:05:00,medium,1,24.78,0,24,1.0,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_025,item_0173,Population and housing census methodology,2026-01-04T13:24:00,medium,1,38.93,0,25,1.0,0.9907,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_026,item_0036,Population and housing census methodology,2026-01-04T13:30:00,medium,1,21.86,0,26,0.9907,0.9997,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_027,item_0167,Population and housing census methodology,2026-01-04T13:41:00,hard,0,55.94,0,27,0.9997,0.9979,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_028,item_0103,Population and housing census methodology,2026-01-04T13:55:00,medium,0,21.27,1,28,0.9979,0.9943,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_029,item_0109,Population and housing census methodology,2026-01-04T14:06:00,easy,1,45.83,0,29,0.9943,0.9985,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_030,item_0076,Population and housing census methodology,2026-01-04T14:26:00,medium,1,42.92,1,30,0.9985,0.9862,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_031,item_0129,Population and housing census methodology,2026-01-04T14:33:00,hard,0,20.21,0,31,0.9862,0.9251,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_032,item_0153,Population and housing census methodology,2026-01-04T14:39:00,medium,1,8.41,0,32,0.9251,0.9871,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_033,item_0159,Population and housing census methodology,2026-01-04T14:54:00,easy,1,25.83,0,33,0.9871,0.9904,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_034,item_0062,Population and housing census methodology,2026-01-04T14:59:00,medium,1,49.16,1,34,0.9904,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_035,item_0118,Population and housing census methodology,2026-01-04T15:08:00,easy,1,12.31,0,35,1.0,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_036,item_0090,Population and housing census methodology,2026-01-04T15:22:00,hard,0,35.94,0,36,1.0,1.0,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_037,item_0157,Population and housing census methodology,2026-01-04T15:30:00,hard,0,43.32,0,37,1.0,1.0,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_038,item_0035,Population and housing census methodology,2026-01-04T15:41:00,easy,1,29.95,0,38,1.0,0.9935,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_039,item_0184,Population and housing census methodology,2026-01-04T15:47:00,hard,1,70.26,0,39,0.9935,0.9913,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_040,item_0024,Population and housing census methodology,2026-01-04T16:00:00,medium,1,17.69,0,40,0.9913,0.9873,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_041,item_0042,Population and housing census methodology,2026-01-04T16:09:00,medium,1,28.36,0,41,0.9873,0.9848,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_042,item_0140,Population and housing census methodology,2026-01-04T16:25:00,easy,1,25.77,0,42,0.9848,0.9834,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_043,item_0011,Population and housing census methodology,2026-01-04T16:43:00,medium,0,24.18,0,43,0.9834,0.907,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_044,item_0159,Population and housing census methodology,2026-01-04T16:53:00,easy,1,18.83,0,44,0.907,0.9901,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_045,item_0106,Population and housing census methodology,2026-01-04T17:01:00,hard,1,56.18,0,45,0.9901,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_046,item_0098,Population and housing census methodology,2026-01-04T17:15:00,hard,0,12.59,0,46,1.0,0.9988,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_047,item_0059,Population and housing census methodology,2026-01-04T17:28:00,easy,1,21.53,0,47,0.9988,0.9869,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_048,item_0090,Population and housing census methodology,2026-01-04T17:46:00,hard,1,65.85,0,48,0.9869,0.9857,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_049,item_0089,Population and housing census methodology,2026-01-04T17:57:00,hard,1,47.9,0,49,0.9857,0.9938,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_050,item_0066,Population and housing census methodology,2026-01-04T18:08:00,medium,1,32.48,0,50,0.9938,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_051,item_0094,Population and housing census methodology,2026-01-04T18:16:00,medium,1,71.03,0,51,1.0,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_052,item_0185,Population and housing census methodology,2026-01-04T18:25:00,hard,0,49.03,0,52,1.0,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_053,item_0050,Population and housing census methodology,2026-01-04T18:30:00,easy,1,27.27,0,53,1.0,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_054,item_0078,Population and housing census methodology,2026-01-04T18:49:00,easy,1,28.7,0,54,1.0,0.9989,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_055,item_0173,Population and housing census methodology,2026-01-04T19:01:00,medium,1,30.99,0,55,0.9989,0.9949,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_056,item_0173,Population and housing census methodology,2026-01-04T19:12:00,medium,1,43.9,0,56,0.9949,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_057,item_0184,Population and housing census methodology,2026-01-04T19:20:00,hard,1,22.8,0,57,1.0,0.9852,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_058,item_0200,Population and housing census methodology,2026-01-04T19:28:00,hard,1,93.82,1,58,0.9852,0.9896,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_059,item_0117,Population and housing census methodology,2026-01-04T19:47:00,easy,1,25.34,0,59,0.9896,0.9925,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_060,item_0157,Population and housing census methodology,2026-01-04T19:57:00,hard,0,22.07,0,60,0.9925,0.9502,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_061,item_0191,Population and housing census methodology,2026-01-04T20:17:00,medium,0,100.98,0,61,0.9502,0.7422,improving,[SANDBOX DATA]
learner_0001,learner_0001_interaction_062,item_0161,Population and housing census methodology,2026-01-04T20:24:00,easy,1,29.77,0,62,0.7422,0.9342,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_063,item_0036,Population and housing census methodology,2026-01-04T20:39:00,medium,1,21.33,0,63,0.9342,0.9843,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_064,item_0139,Population and housing census methodology,2026-01-04T20:44:00,easy,1,47.25,1,64,0.9843,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_065,item_0196,Population and housing census methodology,2026-01-04T21:02:00,medium,1,48.84,0,65,1.0,0.9967,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_066,item_0138,Population and housing census methodology,2026-01-04T21:20:00,hard,1,44.86,0,66,0.9967,0.991,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_067,item_0125,Population and housing census methodology,2026-01-04T21:39:00,medium,1,37.84,0,67,0.991,0.9882,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_068,item_0033,Population and housing census methodology,2026-01-04T21:46:00,easy,0,51.82,0,68,0.9882,0.931,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_069,item_0165,Population and housing census methodology,2026-01-04T22:05:00,hard,1,29.06,0,69,0.931,0.981,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_070,item_0084,Population and housing census methodology,2026-01-04T22:11:00,easy,1,16.63,0,70,0.981,0.9955,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_071,item_0090,Population and housing census methodology,2026-01-04T22:19:00,hard,1,93.78,1,71,0.9955,0.9983,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_072,item_0145,Population and housing census methodology,2026-01-04T22:27:00,hard,0,30.06,0,72,0.9983,0.9921,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_073,item_0200,Population and housing census methodology,2026-01-04T22:44:00,hard,0,25.83,0,73,0.9921,0.9627,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_074,item_0184,Population and housing census methodology,2026-01-04T22:58:00,hard,1,56.73,0,74,0.9627,0.9987,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_075,item_0176,Population and housing census methodology,2026-01-04T23:13:00,hard,1,39.3,1,75,0.9987,0.9999,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_076,item_0004,Population and housing census methodology,2026-01-04T23:31:00,medium,0,55.27,0,76,0.9999,1.0,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_077,item_0046,Population and housing census methodology,2026-01-04T23:51:00,easy,1,9.51,0,77,1.0,1.0,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_078,item_0120,Population and housing census methodology,2026-01-04T23:58:00,medium,1,8.98,0,78,1.0,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_079,item_0072,Population and housing census methodology,2026-01-05T00:13:00,hard,0,45.13,1,79,1.0,0.9859,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_080,item_0047,Population and housing census methodology,2026-01-05T00:26:00,medium,1,23.16,0,80,0.9859,1.0,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_081,item_0143,Population and housing census methodology,2026-01-05T00:46:00,medium,1,28.93,0,81,1.0,1.0,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_082,item_0115,Population and housing census methodology,2026-01-05T01:06:00,hard,0,23.73,1,82,1.0,1.0,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_083,item_0142,Population and housing census methodology,2026-01-05T01:19:00,medium,1,39.84,0,83,1.0,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_084,item_0079,Population and housing census methodology,2026-01-05T01:29:00,easy,1,22.62,1,84,1.0,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_085,item_0050,Population and housing census methodology,2026-01-05T01:40:00,easy,1,24.65,0,85,1.0,0.988,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_086,item_0076,Population and housing census methodology,2026-01-05T02:00:00,medium,1,38.9,1,86,0.988,1.0,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_087,item_0027,Population and housing census methodology,2026-01-05T02:06:00,easy,1,23.01,0,87,1.0,0.9905,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_088,item_0065,Population and housing census methodology,2026-01-05T02:12:00,hard,0,61.33,0,88,0.9905,0.9268,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_089,item_0039,Population and housing census methodology,2026-01-05T02:29:00,easy,1,35.53,0,89,0.9268,0.9771,mastered,[SANDBOX DATA]
learner_0001,learner_0001_interaction_090,item_0116,Population and housing census methodology,2026-01-05T02:35:00,hard,0,45.65,0,90,0.9771,0.8679,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_001,item_0170,Population and housing census methodology,2026-01-09T09:00:00,easy,1,30.26,1,1,0.2963,0.712,improving,[SANDBOX DATA]
learner_0002,learner_0002_interaction_002,item_0121,Population and housing census methodology,2026-01-09T09:13:00,medium,1,62.34,1,2,0.712,0.9355,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_003,item_0161,Population and housing census methodology,2026-01-09T09:22:00,easy,1,18.44,0,3,0.9355,0.9789,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_004,item_0069,Population and housing census methodology,2026-01-09T09:36:00,easy,1,21.29,1,4,0.9789,0.998,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_005,item_0113,Population and housing census methodology,2026-01-09T09:42:00,medium,1,30.02,0,5,0.998,0.987,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_006,item_0111,Population and housing census methodology,2026-01-09T09:47:00,medium,1,78.72,0,6,0.987,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_007,item_0196,Population and housing census methodology,2026-01-09T09:57:00,medium,1,28.1,0,7,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_008,item_0150,Population and housing census methodology,2026-01-09T10:12:00,easy,1,47.53,0,8,1.0,0.9973,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_009,item_0172,Population and housing census methodology,2026-01-09T10:18:00,medium,1,33.17,1,9,0.9973,0.9965,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_010,item_0117,Population and housing census methodology,2026-01-09T10:38:00,easy,1,23.27,0,10,0.9965,0.9999,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_011,item_0161,Population and housing census methodology,2026-01-09T10:58:00,easy,1,22.87,1,11,0.9999,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_012,item_0032,Population and housing census methodology,2026-01-09T11:03:00,easy,1,53.21,0,12,1.0,0.9943,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_013,item_0142,Population and housing census methodology,2026-01-09T11:12:00,medium,1,40.39,0,13,0.9943,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_014,item_0128,Population and housing census methodology,2026-01-09T11:32:00,hard,0,53.12,0,14,1.0,0.9995,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_015,item_0063,Population and housing census methodology,2026-01-09T11:39:00,hard,1,28.7,1,15,0.9995,0.989,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_016,item_0071,Population and housing census methodology,2026-01-09T11:44:00,easy,1,13.41,0,16,0.989,0.9909,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_017,item_0073,Population and housing census methodology,2026-01-09T12:03:00,hard,1,48.56,0,17,0.9909,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_018,item_0138,Population and housing census methodology,2026-01-09T12:14:00,hard,1,56.1,0,18,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_019,item_0179,Population and housing census methodology,2026-01-09T12:34:00,easy,1,38.26,0,19,1.0,0.9945,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_020,item_0181,Population and housing census methodology,2026-01-09T12:43:00,medium,0,34.45,0,20,0.9945,0.9782,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_021,item_0129,Population and housing census methodology,2026-01-09T12:50:00,hard,0,25.02,0,21,0.9782,0.8684,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_022,item_0085,Population and housing census methodology,2026-01-09T13:10:00,medium,0,26.2,0,22,0.8684,0.5408,needs_practice,[SANDBOX DATA]
learner_0002,learner_0002_interaction_023,item_0139,Population and housing census methodology,2026-01-09T13:28:00,easy,1,116.54,1,23,0.5408,0.8725,needs_practice,[SANDBOX DATA]
learner_0002,learner_0002_interaction_024,item_0026,Population and housing census methodology,2026-01-09T13:33:00,easy,1,16.58,0,24,0.8725,0.9672,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_025,item_0012,Population and housing census methodology,2026-01-09T13:43:00,medium,1,28.75,1,25,0.9672,0.991,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_026,item_0044,Population and housing census methodology,2026-01-09T13:52:00,easy,1,18.03,0,26,0.991,0.9982,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_027,item_0060,Population and housing census methodology,2026-01-09T14:08:00,easy,1,28.24,0,27,0.9982,0.9979,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_028,item_0151,Population and housing census methodology,2026-01-09T14:25:00,easy,1,31.45,0,28,0.9979,0.9937,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_029,item_0124,Population and housing census methodology,2026-01-09T14:30:00,medium,1,25.7,0,29,0.9937,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_030,item_0169,Population and housing census methodology,2026-01-09T14:42:00,hard,1,166.59,1,30,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_031,item_0156,Population and housing census methodology,2026-01-09T14:51:00,hard,0,37.93,1,31,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_032,item_0161,Population and housing census methodology,2026-01-09T15:05:00,easy,1,13.61,0,32,1.0,0.9889,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_033,item_0084,Population and housing census methodology,2026-01-09T15:18:00,easy,1,12.96,0,33,0.9889,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_034,item_0043,Population and housing census methodology,2026-01-09T15:33:00,medium,1,27.9,0,34,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_035,item_0030,Population and housing census methodology,2026-01-09T15:50:00,medium,1,49.05,1,35,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_036,item_0143,Population and housing census methodology,2026-01-09T16:07:00,medium,1,26.96,0,36,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_037,item_0164,Population and housing census methodology,2026-01-09T16:14:00,medium,0,78.4,1,37,1.0,0.9916,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_038,item_0163,Population and housing census methodology,2026-01-09T16:20:00,medium,1,23.18,0,38,0.9916,0.9876,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_039,item_0078,Population and housing census methodology,2026-01-09T16:38:00,easy,0,18.46,1,39,0.9876,0.9186,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_040,item_0151,Population and housing census methodology,2026-01-09T16:51:00,easy,1,27.27,1,40,0.9186,0.9808,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_041,item_0009,Population and housing census methodology,2026-01-09T17:07:00,medium,1,28.37,0,41,0.9808,0.9922,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_042,item_0140,Population and housing census methodology,2026-01-09T17:26:00,easy,0,15.02,0,42,0.9922,0.9638,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_043,item_0024,Population and housing census methodology,2026-01-09T17:38:00,medium,1,32.39,0,43,0.9638,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_044,item_0033,Population and housing census methodology,2026-01-09T17:50:00,easy,1,42.49,0,44,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_045,item_0085,Population and housing census methodology,2026-01-09T17:59:00,medium,1,33.24,0,45,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_046,item_0139,Population and housing census methodology,2026-01-09T18:11:00,easy,1,27.27,0,46,1.0,0.9854,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_047,item_0151,Population and housing census methodology,2026-01-09T18:27:00,easy,1,25.98,0,47,0.9854,0.9965,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_048,item_0132,Population and housing census methodology,2026-01-09T18:41:00,easy,1,13.73,0,48,0.9965,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_049,item_0118,Population and housing census methodology,2026-01-09T18:48:00,easy,1,28.78,1,49,1.0,0.9983,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_050,item_0083,Population and housing census methodology,2026-01-09T19:02:00,easy,1,18.49,1,50,0.9983,0.9944,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_051,item_0117,Population and housing census methodology,2026-01-09T19:13:00,easy,1,30.99,0,51,0.9944,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_052,item_0111,Population and housing census methodology,2026-01-09T19:21:00,medium,1,23.9,0,52,1.0,0.9975,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_053,item_0081,Population and housing census methodology,2026-01-09T19:28:00,hard,1,36.12,0,53,0.9975,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_054,item_0024,Population and housing census methodology,2026-01-09T19:43:00,medium,1,64.34,1,54,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_055,item_0172,Population and housing census methodology,2026-01-09T19:49:00,medium,1,50.02,0,55,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_056,item_0074,Population and housing census methodology,2026-01-09T20:01:00,hard,1,43.72,0,56,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_057,item_0028,Population and housing census methodology,2026-01-09T20:19:00,medium,1,19.87,0,57,1.0,0.9918,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_058,item_0144,Population and housing census methodology,2026-01-09T20:32:00,medium,0,38.34,0,58,0.9918,0.933,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_059,item_0008,Population and housing census methodology,2026-01-09T20:41:00,medium,1,23.99,0,59,0.933,0.9718,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_060,item_0145,Population and housing census methodology,2026-01-09T20:51:00,hard,1,24.72,1,60,0.9718,0.9932,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_061,item_0095,Population and housing census methodology,2026-01-09T21:00:00,medium,1,69.77,0,61,0.9932,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_062,item_0041,Population and housing census methodology,2026-01-09T21:18:00,medium,1,20.26,1,62,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_063,item_0070,Population and housing census methodology,2026-01-09T21:38:00,easy,1,20.98,0,63,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_064,item_0135,Population and housing census methodology,2026-01-09T21:49:00,medium,1,27.02,1,64,1.0,0.994,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_065,item_0197,Population and housing census methodology,2026-01-09T22:01:00,medium,1,37.81,0,65,0.994,0.9953,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_066,item_0129,Population and housing census methodology,2026-01-09T22:19:00,hard,1,33.6,0,66,0.9953,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_067,item_0005,Population and housing census methodology,2026-01-09T22:33:00,medium,1,27.99,1,67,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_068,item_0030,Population and housing census methodology,2026-01-09T22:51:00,medium,1,27.17,0,68,1.0,0.9959,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_069,item_0028,Population and housing census methodology,2026-01-09T23:06:00,medium,1,30.93,0,69,0.9959,0.9935,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_070,item_0057,Population and housing census methodology,2026-01-09T23:22:00,hard,1,50.17,1,70,0.9935,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_071,item_0090,Population and housing census methodology,2026-01-09T23:33:00,hard,1,55.69,0,71,1.0,0.9894,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_072,item_0045,Population and housing census methodology,2026-01-09T23:53:00,easy,1,27.77,0,72,0.9894,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_073,item_0119,Population and housing census methodology,2026-01-10T00:08:00,easy,1,14.27,0,73,1.0,1.0,mastered,[SANDBOX DATA]
learner_0002,learner_0002_interaction_074,item_0161,Population and housing census methodology,2026-01-10T00:14:00,easy,1,22.49,0,74,1.0,1.0,mastered,[SANDBOX DATA]
