learner_id,day,date,mastery,mastery_before_decay,decay_amount,intervention_count,intervention_boost,days_since_learning,retention_factor,learning_state,data_source
learner_0001,23,2026-01-23,0.0661,0.074,0.0122,0,0.0,10,0.8353,needs_practice,[SANDBOX DATA]
learner_0001,24,2026-01-24,0.0571,0.0661,0.0119,0,0.0,11,0.8204,needs_practice,[SANDBOX DATA]
learner_0001,25,2026-01-25,0.0493,0.0571,0.0111,0,0.0,12,0.8057,needs_practice,[SANDBOX DATA]
learner_0001,26,2026-01-26,0.0425,0.0493,0.0103,0,0.0,13,0.7914,needs_practice,[SANDBOX DATA]
learner_0001,27,2026-01-27,0.0502,0.0425,0.0095,0,0.0,14,0.7772,needs_practice,[SANDBOX DATA]
learner_0001,28,2026-01-28,0.035,0.0502,0.0119,0,0.0,15,0.7634,needs_practice,[SANDBOX DATA]
learner_0001,29,2026-01-29,0.0222,0.035,0.0088,0,0.0,16,0.7498,needs_practice,[SANDBOX DATA]
learner_0001,30,2026-01-30,0.0098,0.0222,0.0058,0,0.0,17,0.7364,needs_practice,[SANDBOX DATA]
learner_0001,31,2026-01-31,0.012,0.0098,0.0027,0,0.0,18,0.7233,needs_practice,[SANDBOX DATA]
learner_0001,32,2026-02-01,0.0176,0.012,0.0035,0,0.0,19,0.7103,needs_practice,[SANDBOX DATA]
learner_0001,33,2026-02-02,0.0114,0.0176,0.0053,0,0.0,20,0.6977,needs_practice,[SANDBOX DATA]
learner_0001,34,2026-02-03,0.0011,0.0114,0.0036,0,0.0,21,0.6852,needs_practice,[SANDBOX DATA]
learner_0001,35,2026-02-04,0.0,0.0011,0.0003,0,0.0,22,0.673,needs_practice,[SANDBOX DATA]
learner_0001,36,2026-02-05,0.0052,0.0,0.0,0,0.0,23,0.661,needs_practice,[SANDBOX DATA]
learner_0001,37,2026-02-06,0.0093,0.0052,0.0018,0,0.0,24,0.6492,needs_practice,[SANDBOX DATA]
learner_0001,38,2026-02-07,0.0103,0.0093,0.0034,0,0.0,25,0.6376,needs_practice,[SANDBOX DATA]
learner_0001,39,2026-02-08,0.0011,0.0103,0.0038,0,0.0,26,0.6263,needs_practice,[SANDBOX DATA]
learner_0001,40,2026-02-09,0.0025,0.0011,0.0004,0,0.0,27,0.6151,needs_practice,[SANDBOX DATA]
learner_0001,41,2026-02-10,0.0025,0.0025,0.001,0,0.0,28,0.6041,needs_practice,[SANDBOX DATA]
learner_0001,42,2026-02-11,0.0032,0.0025,0.001,0,0.0,29,0.5933,needs_practice,[SANDBOX DATA]
learner_0001,43,2026-02-12,0.0088,0.0032,0.0013,0,0.0,30,0.5827,needs_practice,[SANDBOX DATA]
learner_0001,44,2026-02-13,0.0069,0.0088,0.0038,0,0.0,31,0.5724,needs_practice,[SANDBOX DATA]
learner_0001,45,2026-02-14,0.0093,0.0069,0.003,0,0.0,32,0.5621,needs_practice,[SANDBOX DATA]
learner_0001,46,2026-02-15,0.0057,0.0093,0.0042,0,0.0,33,0.5521,needs_practice,[SANDBOX DATA]
learner_0001,47,2026-02-16,0.0054,0.0057,0.0026,0,0.0,34,0.5423,needs_practice,[SANDBOX DATA]
learner_0001,48,2026-02-17,0.0079,0.0054,0.0025,0,0.0,35,0.5326,needs_practice,[SANDBOX DATA]
learner_0001,49,2026-02-18,0.0,0.0079,0.0038,0,0.0,36,0.5231,needs_practice,[SANDBOX DATA]
learner_0001,50,2026-02-19,0.0,0.0,0.0,0,0.0,37,0.5138,needs_practice,[SANDBOX DATA]
learner_0001,51,2026-02-20,0.0,0.0,0.0,0,0.0,38,0.5046,needs_practice,[SANDBOX DATA]
learner_0001,52,2026-02-21,0.0,0.0,0.0,0,0.0,39,0.4956,needs_practice,[SANDBOX DATA]
learner_0001,53,2026-02-22,0.0,0.0,0.0,0,0.0,40,0.4868,needs_practice,[SANDBOX DATA]
learner_0001,54,2026-02-23,0.012,0.0,0.0,0,0.0,41,0.4781,needs_practice,[SANDBOX DATA]
learner_0001,55,2026-02-24,0.0,0.012,0.0063,0,0.0,42,0.4695,needs_practice,[SANDBOX DATA]
learner_0001,56,2026-02-25,0.0077,0.0,0.0,0,0.0,43,0.4612,needs_practice,[SANDBOX DATA]
learner_0001,57,2026-02-26,0.0,0.0077,0.0042,0,0.0,44,0.4529,needs_practice,[SANDBOX DATA]
learner_0001,58,2026-02-27,0.0,0.0,0.0,0,0.0,45,0.4449,needs_practice,[SANDBOX DATA]
learner_0001,59,2026-02-28,0.0013,0.0,0.0,0,0.0,46,0.4369,needs_practice,[SANDBOX DATA]
learner_0001,60,2026-03-01,0.0052,0.0013,0.0007,0,0.0,47,0.4291,needs_practice,[SANDBOX DATA]
learner_0001,61,2026-03-02,0.0079,0.0052,0.003,0,0.0,48,0.4215,needs_practice,[SANDBOX DATA]
learner_0001,62,2026-03-03,0.0096,0.0079,0.0046,0,0.0,49,0.414,needs_practice,[SANDBOX DATA]
learner_0001,63,2026-03-04,0.0011,0.0096,0.0057,0,0.0,50,0.4066,needs_practice,[SANDBOX DATA]
learner_0001,64,2026-03-05,0.0,0.0011,0.0007,0,0.0,51,0.3993,needs_practice,[SANDBOX DATA]
learner_0001,65,2026-03-06,0.0069,0.0,0.0,0,0.0,52,0.3922,needs_practice,[SANDBOX DATA]
learner_0001,66,2026-03-07,0.0011,0.0069,0.0042,0,0.0,53,0.3852,needs_practice,[SANDBOX DATA]
learner_0001,67,2026-03-08,0.0,0.0011,0.0007,0,0.0,54,0.3783,needs_practice,[SANDBOX DATA]
learner_0001,68,2026-03-09,0.0,0.0,0.0,0,0.0,55,0.3716,needs_practice,[SANDBOX DATA]
learner_0001,69,2026-03-10,0.0,0.0,0.0,0,0.0,56,0.3649,needs_practice,[SANDBOX DATA]
learner_0001,70,2026-03-11,0.004,0.0,0.0,0,0.0,57,0.3584,needs_practice,[SANDBOX DATA]
learner_0001,71,2026-03-12,0.0025,0.004,0.0026,0,0.0,58,0.352,needs_practice,[SANDBOX DATA]
learner_0001,72,2026-03-13,0.0064,0.0025,0.0017,0,0.0,59,0.3458,needs_practice,[SANDBOX DATA]
learner_0001,73,2026-03-14,0.0,0.0064,0.0042,0,0.0,60,0.3396,needs_practice,[SANDBOX DATA]
learner_0001,74,2026-03-15,0.0013,0.0,0.0,0,0.0,61,0.3335,needs_practice,[SANDBOX DATA]
learner_0001,75,2026-03-16,0.0054,0.0013,0.0009,0,0.0,62,0.3276,needs_practice,[SANDBOX DATA]
learner_0001,76,2026-03-17,0.0,0.0054,0.0037,0,0.0,63,0.3217,needs_practice,[SANDBOX DATA]
learner_0001,77,2026-03-18,0.0037,0.0,0.0,0,0.0,64,0.316,needs_practice,[SANDBOX DATA]
learner_0001,78,2026-03-19,0.0,0.0037,0.0025,0,0.0,65,0.3104,needs_practice,[SANDBOX DATA]
learner_0001,79,2026-03-20,0.0,0.0,0.0,0,0.0,66,0.3048,needs_practice,[SANDBOX DATA]
learner_0001,80,2026-03-21,0.0,0.0,0.0,0,0.0,67,0.2994,needs_practice,[SANDBOX DATA]
learner_0001,81,2026-03-22,0.0,0.0,0.0,0,0.0,68,0.2941,needs_practice,[SANDBOX DATA]
learner_0001,82,2026-03-23,0.0039,0.0,0.0,0,0.0,69,0.2888,needs_practice,[SANDBOX DATA]
learner_0001,83,2026-03-24,0.0,0.0039,0.0028,0,0.0,70,0.2837,needs_practice,[SANDBOX DATA]
learner_0001,84,2026-03-25,0.0001,0.0,0.0,0,0.0,71,0.2786,needs_practice,[SANDBOX DATA]
learner_0001,85,2026-03-26,0.0039,0.0001,0.0001,0,0.0,72,0.2736,needs_practice,[SANDBOX DATA]
learner_0001,86,2026-03-27,0.0046,0.0039,0.0028,0,0.0,73,0.2687,needs_practice,[SANDBOX DATA]
learner_0001,87,2026-03-28,0.0065,0.0046,0.0034,0,0.0,74,0.2639,needs_practice,[SANDBOX DATA]
learner_0001,88,2026-03-29,0.0009,0.0065,0.0048,0,0.0,75,0.2592,needs_practice,[SANDBOX DATA]
learner_0001,89,2026-03-30,0.0,0.0009,0.0007,0,0.0,76,0.2546,needs_practice,[SANDBOX DATA]
learner_0001,90,2026-03-31,0.0,0.0,0.0,0,0.0,77,0.2501,needs_practice,[SANDBOX DATA]
learner_0002,1,2026-01-01,0.261,0.2197,0.0,1,0.0519,0,1.0,needs_practice,[SANDBOX DATA]
learner_0002,2,2026-01-02,0.2531,0.261,0.0,0,0.0,0,1.0,needs_practice,[SANDBOX DATA]
learner_0002,3,2026-01-03,0.2517,0.2531,0.0045,0,0.0,1,0.9822,needs_practice,[SANDBOX DATA]
learner_0002,4,2026-01-04,0.2356,0.2517,0.0089,0,0.0,2,0.9646,needs_practice,[SANDBOX DATA]
learner_0002,5,2026-01-05,0.2202,0.2356,0.0124,0,0.0,3,0.9474,needs_practice,[SANDBOX DATA]
learner_0002,6,2026-01-06,0.2153,0.2202,0.0153,0,0.0,4,0.9305,needs_practice,[SANDBOX DATA]
learner_0002,7,2026-01-07,0.2445,0.2153,0.0185,1,0.0418,5,0.9139,needs_practice,[SANDBOX DATA]
learner_0002,8,2026-01-08,0.237,0.2445,0.0,0,0.0,0,1.0,needs_practice,[SANDBOX DATA]
learner_0002,9,2026-01-09,0.2311,0.237,0.0042,0,0.0,1,0.9822,needs_practice,[SANDBOX DATA]
learner_0002,10,2026-01-10,0.2154,0.2311,0.0082,0,0.0,2,0.9646,needs_practice,[SANDBOX DATA]
learner_0002,11,2026-01-11,0.2013,0.2154,0.0113,0,0.0,3,0.9474,needs_practice,[SANDBOX DATA]
learner_0002,12,2026-01-12,0.265,0.2013,0.014,1,0.0915,4,0.9305,needs_practice,[SANDBOX DATA]
learner_0002,13,2026-01-13,0.2685,0.265,0.0,0,0.0,0,1.0,needs_practice,[SANDBOX DATA]
learner_0002,14,2026-01-14,0.2656,0.2685,0.0048,0,0.0,1,0.9822,needs_practice,[SANDBOX DATA]
learner_0002,15,2026-01-15,0.2515,0.2656,0.0094,0,0.0,2,0.9646,needs_practice,[SANDBOX DATA]
learner_0002,16,2026-01-16,0.2267,0.2515,0.0132,0,0.0,3,0.9474,needs_practice,[SANDBOX DATA]
learner_0002,17,2026-01-17,0.2115,0.2267,0.0157,0,0.0,4,0.9305,needs_practice,[SANDBOX DATA]
learner_0002,18,2026-01-18,0.1891,0.2115,0.0182,0,0.0,5,0.9139,needs_practice,[SANDBOX DATA]
learner_0002,19,2026-01-19,0.1716,0.1891,0.0194,0,0.0,6,0.8976,needs_practice,[SANDBOX DATA]
learner_0002,20,2026-01-20,0.1514,0.1716,0.0203,0,0.0,7,0.8816,needs_practice,[SANDBOX DATA]
learner_0002,21,2026-01-21,0.1439,0.1514,0.0203,0,0.0,8,0.8659,needs_practice,[SANDBOX DATA]
learner_0002,22,2026-01-22,0.1205,0.1439,0.0215,0,0.0,9,0.8504,needs_practice,[SANDBOX DATA]
learner_0002,23,2026-01-23,0.0925,0.1205,0.0199,0,0.0,10,0.8353,needs_practice,[SANDBOX DATA]
learner_0002,24,2026-01-24,0.0773,0.0925,0.0166,0,0.0,11,0.8204,needs_practice,[SANDBOX DATA]
learner_0002,25,2026-01-25,0.064,0.0773,0.015,0,0.0,12,0.8057,needs_practice,[SANDBOX DATA]
learner_0002,26,2026-01-26,0.0615,0.064,0.0134,0,0.0,13,0.7914,needs_practice,[SANDBOX DATA]
learner_0002,27,2026-01-27,0.0545,0.0615,0.0137,0,0.0,14,0.7772,needs_practice,[SANDBOX DATA]
learner_0002,28,2026-01-28,0.0445,0.0545,0.0129,0,0.0,15,0.7634,needs_practice,[SANDBOX DATA]
learner_0002,29,2026-01-29,0.0451,0.0445,0.0111,0,0.0,16,0.7498,needs_practice,[SANDBOX DATA]
learner_0002,30,2026-01-30,0.0237,0.0451,0.0119,0,0.0,17,0.7364,needs_practice,[SANDBOX DATA]
learner_0002,31,2026-01-31,0.012,0.0237,0.0065,0,0.0,18,0.7233,needs_practice,[SANDBOX DATA]
learner_0002,32,2026-02-01,0.0011,0.012,0.0035,0,0.0,19,0.7103,needs_practice,[SANDBOX DATA]
learner_0002,33,2026-02-02,0.0,0.0011,0.0003,0,0.0,20,0.6977,needs_practice,[SANDBOX DATA]
learner_0002,34,2026-02-03,0.0,0.0,0.0,0,0.0,21,0.6852,needs_practice,[SANDBOX DATA]
learner_0002,35,2026-02-04,0.0051,0.0,0.0,0,0.0,22,0.673,needs_practice,[SANDBOX DATA]
learner_0002,36,2026-02-05,0.0016,0.0051,0.0017,0,0.0,23,0.661,needs_practice,[SANDBOX DATA]
learner_0002,37,2026-02-06,0.0,0.0016,0.0006,0,0.0,24,0.6492,needs_practice,[SANDBOX DATA]
learner_0002,38,2026-02-07,0.0,0.0,0.0,0,0.0,25,0.6376,needs_practice,[SANDBOX DATA]
learner_0002,39,2026-02-08,0.0025,0.0,0.0,0,0.0,26,0.6263,needs_practice,[SANDBOX DATA]
learner_0002,40,2026-02-09,0.0082,0.0025,0.001,0,0.0,27,0.6151,needs_practice,[SANDBOX DATA]
learner_0002,41,2026-02-10,0.021,0.0082,0.0033,0,0.0,28,0.6041,needs_practice,[SANDBOX DATA]
learner_0002,42,2026-02-11,0.0357,0.021,0.0085,0,0.0,29,0.5933,needs_practice,[SANDBOX DATA]
learner_0002,43,2026-02-12,0.0241,0.0357,0.0149,0,0.0,30,0.5827,needs_practice,[SANDBOX DATA]
learner_0002,44,2026-02-13,0.0059,0.0241,0.0103,0,0.0,31,0.5724,needs_practice,[SANDBOX DATA]
learner_0002,45,2026-02-14,0.0,0.0059,0.0026,0,0.0,32,0.5621,needs_practice,[SANDBOX DATA]
learner_0002,46,2026-02-15,0.0021,0.0,0.0,0,0.0,33,0.5521,needs_practice,[SANDBOX DATA]
learner_0002,47,2026-02-16,0.0,0.0021,0.001,0,0.0,34,0.5423,needs_practice,[SANDBOX DATA]
learner_0002,48,2026-02-17,0.0,0.0,0.0,0,0.0,35,0.5326,needs_practice,[SANDBOX DATA]
learner_0002,49,2026-02-18,0.0,0.0,0.0,0,0.0,36,0.5231,needs_practice,[SANDBOX DATA]
learner_0002,50,2026-02-19,0.0,0.0,0.0,0,0.0,37,0.5138,needs_practice,[SANDBOX DATA]
learner_0002,51,2026-02-20,0.0085,0.0,0.0,0,0.0,38,0.5046,needs_practice,[SANDBOX DATA]
learner_0002,52,2026-02-21,0.0055,0.0085,0.0043,0,0.0,39,0.4956,needs_practice,[SANDBOX DATA]
learner_0002,53,2026-02-22,0.0014,0.0055,0.0028,0,0.0,40,0.4868,needs_practice,[SANDBOX DATA]
learner_0002,54,2026-02-23,0.0,0.0014,0.0007,0,0.0,41,0.4781,needs_practice,[SANDBOX DATA]
learner_0002,55,2026-02-24,0.0,0.0,0.0,0,0.0,42,0.4695,needs_practice,[SANDBOX DATA]
learner_0002,56,2026-02-25,0.0,0.0,0.0,0,0.0,43,0.4612,needs_practice,[SANDBOX DATA]
learner_0002,57,2026-02-26,0.0,0.0,0.0,0,0.0,44,0.4529,needs_practice,[SANDBOX DATA]
learner_0002,58,2026-02-27,0.0141,0.0,0.0,0,0.0,45,0.4449,needs_practice,[SANDBOX DATA]
learner_0002,59,2026-02-28,0.0072,0.0141,0.008,0,0.0,46,0.4369,needs_practice,[SANDBOX DATA]
learner_0002,60,2026-03-01,0.011,0.0072,0.0041,0,0.0,47,0.4291,needs_practice,[SANDBOX DATA]
learner_0002,61,2026-03-02,0.0006,0.011,0.0063,0,0.0,48,0.4215,needs_practice,[SANDBOX DATA]
learner_0002,62,2026-03-03,0.0,0.0006,0.0004,0,0.0,49,0.414,needs_practice,[SANDBOX DATA]
learner_0002,63,2026-03-04,0.0,0.0,0.0,0,0.0,50,0.4066,needs_practice,[SANDBOX DATA]
learner_0002,64,2026-03-05,0.0,0.0,0.0,0,0.0,51,0.3993,needs_practice,[SANDBOX DATA]
learner_0002,65,2026-03-06,0.017,0.0,0.0,0,0.0,52,0.3922,needs_practice,[SANDBOX DATA]
learner_0002,66,2026-03-07,0.0,0.017,0.0105,0,0.0,53,0.3852,needs_practice,[SANDBOX DATA]
learner_0002,67,2026-03-08,0.0067,0.0,0.0,0,0.0,54,0.3783,needs_practice,[SANDBOX DATA]
learner_0002,68,2026-03-09,0.0,0.0067,0.0042,0,0.0,55,0.3716,needs_practice,[SANDBOX DATA]
learner_0002,69,2026-03-10,0.0075,0.0,0.0,0,0.0,56,0.3649,needs_practice,[SANDBOX DATA]
learner_0002,70,2026-03-11,0.0058,0.0075,0.0048,0,0.0,57,0.3584,needs_practice,[SANDBOX DATA]
learner_0002,71,2026-03-12,0.0008,0.0058,0.0037,0,0.0,58,0.352,needs_practice,[SANDBOX DATA]
learner_0002,72,2026-03-13,0.0,0.0008,0.0005,0,0.0,59,0.3458,needs_practice,[SANDBOX DATA]
learner_0002,73,2026-03-14,0.0,0.0,0.0,0,0.0,60,0.3396,needs_practice,[SANDBOX DATA]
learner_0002,74,2026-03-15,0.0036,0.0,0.0,0,0.0,61,0.3335,needs_practice,[SANDBOX DATA]
learner_0002,75,2026-03-16,0.0,0.0036,0.0024,0,0.0,62,0.3276,needs_practice,[SANDBOX DATA]
learner_0002,76,2026-03-17,0.0,0.0,0.0,0,0.0,63,0.3217,needs_practice,[SANDBOX DATA]
learner_0002,77,2026-03-18,0.0,0.0,0.0,0,0.0,64,0.316,needs_practice,[SANDBOX DATA]
learner_0002,78,2026-03-19,0.0014,0.0,0.0,0,0.0,65,0.3104,needs_practice,[SANDBOX DATA]
learner_0002,79,2026-03-20,0.0131,0.0014,0.001,0,0.0,66,0.3048,needs_practice,[SANDBOX DATA]
learner_0002,80,2026-03-21,0.0052,0.0131,0.0091,0,0.0,67,0.2994,needs_practice,[SANDBOX DATA]
learner_0002,81,2026-03-22,0.0006,0.0052,0.0037,0,0.0,68,0.2941,needs_practice,[SANDBOX DATA]
learner_0002,82,2026-03-23,0.0025,0.0006,0.0004,0,0.0,69,0.2888,needs_practice,[SANDBOX DATA]
learner_0002,83,2026-03-24,0.0111,0.0025,0.0018,0,0.0,70,0.2837,needs_practice,[SANDBOX DATA]
learner_0002,84,2026-03-25,0.0049,0.0111,0.008,0,0.0,71,0.2786,needs_practice,[SANDBOX DATA]
learner_0002,85,2026-03-26,0.0,0.0049,0.0035,0,0.0,72,0.2736,needs_practice,[SANDBOX DATA]
learner_0002,86,2026-03-27,0.0089,0.0,0.0,0,0.0,73,0.2687,needs_practice,[SANDBOX DATA]
learner_0002,87,2026-03-28,0.0058,0.0089,0.0065,0,0.0,74,0.2639,needs_practice,[SANDBOX DATA]
learner_0002,88,2026-03-29,0.0138,0.0058,0.0043,0,0.0,75,0.2592,needs_practice,[SANDBOX DATA]
learner_0002,89,2026-03-30,0.005,0.0138,0.0103,0,0.0,76,0.2546,needs_practice,[SANDBOX DATA]
learner_0002,90,2026-03-31,0.0,0.005,0.0037,0,0.0,77,0.2501,needs_practice,[SANDBOX DATA]
learner_0003,1,2026-01-01,0.225,0.1416,0.0,1,0.0696,0,1.0,needs_practice,[SANDBOX DATA]
learner_0003,2,2026-01-02,0.2235,0.225,0.0,0,0.0,0,1.0,needs_practice,[SANDBOX DATA]
learner_0003,3,2026-01-03,0.2165,0.2235,0.004,0,0.0,1,0.9822,needs_practice,[SANDBOX DATA]
learner_0003,4,2026-01-04,0.2205,0.2165,0.0077,0,0.0,2,0.9646,needs_practice,[SANDBOX DATA]
learner_0003,5,2026-01-05,0.2001,0.2205,0.0116,0,0.0,3,0.9474,needs_practice,[SANDBOX DATA]
learner_0003,6,2026-01-06,0.179,0.2001,0.0139,0,0.0,4,0.9305,needs_practice,[SANDBOX DATA]
learner_0003,7,2026-01-07,0.1688,0.179,0.0154,0,0.0,5,0.9139,needs_practice,[SANDBOX DATA]
learner_0003,8,2026-01-08,0.1636,0.1688,0.0173,1,0.0121,6,0.8976,needs_practice,[SANDBOX DATA]
learner_0003,9,2026-01-09,0.1623,0.1636,0.0,0,0.0,0,1.0,needs_practice,[SANDBOX DATA]
learner_0003,10,2026-01-10,0.1621,0.1623,0.0029,0,0.0,1,0.9822,needs_practice,[SANDBOX DATA]
learner_0003,11,2026-01-11,0.1676,0.1621,0.0057,0,0.0,2,0.9646,needs_practice,[SANDBOX DATA]
learner_0003,12,2026-01-12,0.1595,0.1676,0.0088,0,0.0,3,0.9474,needs_practice,[SANDBOX DATA]
learner_0003,13,2026-01-13,0.1536,0.1595,0.0111,0,0.0,4,0.9305,needs_practice,[SANDBOX DATA]
learner_0003,14,2026-01-14,0.1846,0.1536,0.0132,1,0.0446,5,0.9139,needs_practice,[SANDBOX DATA]
learner_0003,15,2026-01-15,0.1779,0.1846,0.0,0,0.0,0,1.0,needs_practice,[SANDBOX DATA]
learner_0003,16,2026-01-16,0.165,0.1779,0.0032,0,0.0,1,0.9822,needs_practice,[SANDBOX DATA]
learner_0003,17,2026-01-17,0.1966,0.165,0.0058,1,0.0402,2,0.9646,needs_practice,[SANDBOX DATA]
learner_0003,18,2026-01-18,0.2039,0.1966,0.0,0,0.0,0,1.0,needs_practice,[SANDBOX DATA]
learner_0003,19,2026-01-19,0.1897,0.2039,0.0036,0,0.0,1,0.9822,needs_practice,[SANDBOX DATA]
learner_0003,20,2026-01-20,0.1832,0.1897,0.0067,0,0.0,2,0.9646,needs_practice,[SANDBOX DATA]
learner_0003,21,2026-01-21,0.1697,0.1832,0.0096,0,0.0,3,0.9474,needs_practice,[SANDBOX DATA]
learner_0003,22,2026-01-22,0.1553,0.1697,0.0118,0,0.0,4,0.9305,needs_practice,[SANDBOX DATA]
learner_0003,23,2026-01-23,0.15,0.1553,0.0134,0,0.0,5,0.9139,needs_practice,[SANDBOX DATA]
learner_0003,24,2026-01-24,0.1389,0.15,0.0154,0,0.0,6,0.8976,needs_practice,[SANDBOX DATA]
learner_0003,25,2026-01-25,0.1332,0.1389,0.0164,0,0.0,7,0.8816,needs_practice,[SANDBOX DATA]
learner_0003,26,2026-01-26,0.1141,0.1332,0.0179,0,0.0,8,0.8659,needs_practice,[SANDBOX DATA]
learner_0003,27,2026-01-27,0.0914,0.1141,0.0171,0,0.0,9,0.8504,needs_practice,[SANDBOX DATA]
learner_0003,28,2026-01-28,0.0746,0.0914,0.0151,0,0.0,10,0.8353,needs_practice,[SANDBOX DATA]
learner_0003,29,2026-01-29,0.0631,0.0746,0.0134,0,0.0,11,0.8204,needs_practice,[SANDBOX DATA]
learner_0003,30,2026-01-30,0.0523,0.0631,0.0123,0,0.0,12,0.8057,needs_practice,[SANDBOX DATA]
learner_0003,31,2026-01-31,0.0327,0.0523,0.0109,0,0.0,13,0.7914,needs_practice,[SANDBOX DATA]
learner_0003,32,2026-02-01,0.0261,0.0327,0.0073,0,0.0,14,0.7772,needs_practice,[SANDBOX DATA]
learner_0003,33,2026-02-02,0.0218,0.0261,0.0062,0,0.0,15,0.7634,needs_practice,[SANDBOX DATA]
learner_0003,34,2026-02-03,0.0365,0.0218,0.0055,0,0.0,16,0.7498,needs_practice,[SANDBOX DATA]
learner_0003,35,2026-02-04,0.0419,0.0365,0.0096,0,0.0,17,0.7364,needs_practice,[SANDBOX DATA]
learner_0003,36,2026-02-05,0.0235,0.0419,0.0116,0,0.0,18,0.7233,needs_practice,[SANDBOX DATA]
learner_0003,37,2026-02-06,0.0144,0.0235,0.0068,0,0.0,19,0.7103,needs_practice,[SANDBOX DATA]
learner_0003,38,2026-02-07,0.0,0.0144,0.0043,0,0.0,20,0.6977,needs_practice,[SANDBOX DATA]
learner_0003,39,2026-02-08,0.0,0.0,0.0,0,0.0,21,0.6852,needs_practice,[SANDBOX DATA]
learner_0003,40,2026-02-09,0.0025,0.0,0.0,0,0.0,22,0.673,needs_practice,[SANDBOX DATA]
learner_0003,41,2026-02-10,0.0113,0.0025,0.0009,0,0.0,23,0.661,needs_practice,[SANDBOX DATA]
learner_0003,42,2026-02-11,0.0015,0.0113,0.004,0,0.0,24,0.6492,needs_practice,[SANDBOX DATA]
learner_0003,43,2026-02-12,0.0,0.0015,0.0005,0,0.0,25,0.6376,needs_practice,[SANDBOX DATA]
learner_0003,44,2026-02-13,0.0,0.0,0.0,0,0.0,26,0.6263,needs_practice,[SANDBOX DATA]
learner_0003,45,2026-02-14,0.0,0.0,0.0,0,0.0,27,0.6151,needs_practice,[SANDBOX DATA]
learner_0003,46,2026-02-15,0.0,0.0,0.0,0,0.0,28,0.6041,needs_practice,[SANDBOX DATA]
learner_0003,47,2026-02-16,0.0,0.0,0.0,0,0.0,29,0.5933,needs_practice,[SANDBOX DATA]
learner_0003,48,2026-02-17,0.0,0.0,0.0,0,0.0,30,0.5827,needs_practice,[SANDBOX DATA]
learner_0003,49,2026-02-18,0.0,0.0,0.0,0,0.0,31,0.5724,needs_practice,[SANDBOX DATA]
learner_0003,50,2026-02-19,0.0,0.0,0.0,0,0.0,32,0.5621,needs_practice,[SANDBOX DATA]
learner_0003,51,2026-02-20,0.0,0.0,0.0,0,0.0,33,0.5521,needs_practice,[SANDBOX DATA]
