learner_id,theta,data_source
learner_0209,-0.4109,[SANDBOX DATA]
learner_0210,-2.6794,[SANDBOX DATA]
learner_0211,0.8658,[SANDBOX DATA]
learner_0212,-0.1554,[SANDBOX DATA]
learner_0213,-0.2137,[SANDBOX DATA]
learner_0214,0.7359,[SANDBOX DATA]
learner_0215,-2.4429,[SANDBOX DATA]
learner_0216,-2.2886,[SANDBOX DATA]
learner_0217,0.4769,[SANDBOX DATA]
learner_0218,-0.081,[SANDBOX DATA]
learner_0219,0.9235,[SANDBOX DATA]
learner_0220,-0.076,[SANDBOX DATA]
learner_0221,-0.8969,[SANDBOX DATA]
learner_0222,0.4742,[SANDBOX DATA]
learner_0223,0.2656,[SANDBOX DATA]
learner_0224,0.0923,[SANDBOX DATA]
learner_0225,0.6305,[SANDBOX DATA]
learner_0226,0.4773,[SANDBOX DATA]
learner_0227,-0.485,[SANDBOX DATA]
learner_0228,-0.599,[SANDBOX DATA]
learner_0229,0.2587,[SANDBOX DATA]
learner_0230,-0.6893,[SANDBOX DATA]
learner_0231,-0.0984,[SANDBOX DATA]
learner_0232,1.72,[SANDBOX DATA]
learner_0233,-0.4139,[SANDBOX DATA]
learner_0234,-0.6793,[SANDBOX DATA]
learner_0235,0.0807,[SANDBOX DATA]
learner_0236,0.3876,[SANDBOX DATA]
learner_0237,1.2416,[SANDBOX DATA]
learner_0238,1.5012,[SANDBOX DATA]
learner_0239,-0.0938,[SANDBOX DATA]
learner_0240,1.4488,[SANDBOX DATA]
learner_0241,0.9221,[SANDBOX DATA]
learner_0242,-1.9718,[SANDBOX DATA]
learner_0243,0.1549,[SANDBOX DATA]
learner_0244,1.1524,[SANDBOX DATA]
learner_0245,0.6442,[SANDBOX DATA]
learner_0246,0.0705,[SANDBOX DATA]
learner_0247,-0.7027,[SANDBOX DATA]
learner_0248,0.5319,[SANDBOX DATA]
learner_0249,-0.6354,[SANDBOX DATA]
learner_0250,0.3265,[SANDBOX DATA]
learner_0251,0.2271,[SANDBOX DATA]
learner_0252,-1.572,[SANDBOX DATA]
learner_0253,0.6378,[SANDBOX DATA]
learner_0254,1.3169,[SANDBOX DATA]
learner_0255,-0.282,[SANDBOX DATA]
learner_0256,2.7653,[SANDBOX DATA]
learner_0257,-0.8277,[SANDBOX DATA]
learner_0258,0.9914,[SANDBOX DATA]
learner_0259,-0.4141,[SANDBOX DATA]
learner_0260,1.078,[SANDBOX DATA]
learner_0261,1.5203,[SANDBOX DATA]
learner_0262,-0.0116,[SANDBOX DATA]
learner_0263,-1.3898,[SANDBOX DATA]
learner_0264,-0.4066,[SANDBOX DATA]
learner_0265,1.3567,[SANDBOX DATA]
learner_0266,0.4046,[SANDBOX DATA]
learner_0267,-0.1452,[SANDBOX DATA]
learner_0268,0.8721,[SANDBOX DATA]
learner_0269,0.4008,[SANDBOX DATA]
learner_0270,-0.0156,[SANDBOX DATA]
learner_0271,-0.3912,[SANDBOX DATA]
learner_0272,2.0516,[SANDBOX DATA]
learner_0273,-0.9532,[SANDBOX DATA]
learner_0274,1.1957,[SANDBOX DATA]
learner_0275,-0.1131,[SANDBOX DATA]
learner_0276,-0.3387,[SANDBOX DATA]
learner_0277,0.1245,[SANDBOX DATA]
learner_0278,-0.8398,[SANDBOX DATA]
learner_0279,1.1744,[SANDBOX DATA]
learner_0280,0.56,[SANDBOX DATA]
learner_0281,1.1674,[SANDBOX DATA]
learner_0282,-0.3518,[SANDBOX DATA]
learner_0283,0.2455,[SANDBOX DATA]
learner_0284,-1.3048,[SANDBOX DATA]
learner_0285,0.0989,[SANDBOX DATA]
learner_0286,-0.0749,[SANDBOX DATA]
learner_0287,1.1359,[SANDBOX DATA]
learner_0288,0.7566,[SANDBOX DATA]
learner_0289,-2.3518,[SANDBOX DATA]
learner_0290,0.1427,[SANDBOX DATA]
learner_0291,1.4717,[SANDBOX DATA]
learner_0292,-1.8279,[SANDBOX DATA]
learner_0293,-2.2192,[SANDBOX DATA]
learner_0294,0.074,[SANDBOX DATA]
learner_0295,-0.5311,[SANDBOX DATA]
learner_0296,-0.0209,[SANDBOX DATA]
learner_0297,0.1011,[SANDBOX DATA]
learner_0298,0.1951,[SANDBOX DATA]
learner_0299,-0.113,[SANDBOX DATA]
learner_0300,-1.7657,[SANDBOX DATA]
learner_0301,0.1607,[SANDBOX DATA]
learner_0302,1.4241,[SANDBOX DATA]
learner_0303,0.8702,[SANDBOX DATA]
learner_0304,1.5666,[SANDBOX DATA]
learner_0305,1.6344,[SANDBOX DATA]
learner_0306,-1.5958,[SANDBOX DATA]
learner_0307,1.1873,[SANDBOX DATA]
learner_0308,1.1469,[SANDBOX DATA]
learner_0309,0.082,[SANDBOX DATA]
learner_0310,0.6468,[SANDBOX DATA]
learner_0311,0.314,[SANDBOX DATA]
learner_0312,-1.6995,[SANDBOX DATA]
learner_0313,-0.9013,[SANDBOX DATA]
learner_0314,1.7341,[SANDBOX DATA]
learner_0315,-0.3012,[SANDBOX DATA]
learner_0316,1.5595,[SANDBOX DATA]
learner_0317,0.7479,[SANDBOX DATA]
learner_0318,-1.8809,[SANDBOX DATA]
learner_0319,1.1489,[SANDBOX DATA]
learner_0320,-0.567,[SANDBOX DATA]
learner_0321,-1.2969,[SANDBOX DATA]
learner_0322,0.5451,[SANDBOX DATA]
learner_0323,1.6729,[SANDBOX DATA]
learner_0324,-1.1362,[SANDBOX DATA]
learner_0325,-0.5668,[SANDBOX DATA]
learner_0326,-1.051,[SANDBOX DATA]
learner_0327,-0.6424,[SANDBOX DATA]
learner_0328,0.414,[SANDBOX DATA]
learner_0329,-0.8386,[SANDBOX DATA]
learner_0330,-0.0378,[SANDBOX DATA]
learner_0331,0.2902,[SANDBOX DATA]
learner_0332,-0.8913,[SANDBOX DATA]
learner_0333,1.2484,[SANDBOX DATA]
learner_0334,-0.0586,[SANDBOX DATA]
learner_0335,-1.8236,[SANDBOX DATA]
learner_0336,0.2836,[SANDBOX DATA]
learner_0337,0.6182,[SANDBOX DATA]
learner_0338,1.0928,[SANDBOX DATA]
learner_0339,1.6892,[SANDBOX DATA]
learner_0340,2.2777,[SANDBOX DATA]
learner_0341,0.3633,[SANDBOX DATA]
learner_0342,-0.2415,[SANDBOX DATA]
learner_0343,0.4381,[SANDBOX DATA]
learner_0344,-1.3919,[SANDBOX DATA]
learner_0345,-0.6412,[SANDBOX DATA]
learner_0346,2.3712,[SANDBOX DATA]
learner_0347,0.6118,[SANDBOX DATA]
learner_0348,0.763,[SANDBOX DATA]
learner_0349,1.075,[SANDBOX DATA]
learner_0350,2.0746,[SANDBOX DATA]
learner_0351,-0.3127,[SANDBOX DATA]
learner_0352,-1.1001,[SANDBOX DATA]
learner_0353,-0.2371,[SANDBOX DATA]
learner_0354,0.7117,[SANDBOX DATA]
learner_0355,-0.8769,[SANDBOX DATA]
learner_0356,1.2431,[SANDBOX DATA]
learner_0357,-0.5103,[SANDBOX DATA]
learner_0358,-0.5735,[SANDBOX DATA]
learner_0359,-0.6615,[SANDBOX DATA]
learner_0360,-1.144,[SANDBOX DATA]
learner_0361,1.1387,[SANDBOX DATA]
learner_0362,1.3171,[SANDBOX DATA]
learner_0363,0.4916,[SANDBOX DATA]
learner_0364,-0.1621,[SANDBOX DATA]
learner_0365,-0.0309,[SANDBOX DATA]
learner_0366,-0.399,[SANDBOX DATA]
learner_0367,3.4427,[SANDBOX DATA]
learner_0368,-0.4028,[SANDBOX DATA]
learner_0369,-0.6062,[SANDBOX DATA]
learner_0370,1.095,[SANDBOX DATA]
learner_0371,0.7793,[SANDBOX DATA]
learner_0372,0.1703,[SANDBOX DATA]
learner_0373,0.6504,[SANDBOX DATA]
learner_0374,-1.4738,[SANDBOX DATA]
learner_0375,-0.6408,[SANDBOX DATA]
learner_0376,0.9446,[SANDBOX DATA]
learner_0377,-0.7006,[SANDBOX DATA]
learner_0378,-0.5182,[SANDBOX DATA]
learner_0379,0.2836,[SANDBOX DATA]
learner_0380,-0.6648,[SANDBOX DATA]
learner_0381,0.875,[SANDBOX DATA]
learner_0382,0.8047,[SANDBOX DATA]
learner_0383,0.9798,[SANDBOX DATA]
learner_0384,-1.3517,[SANDBOX DATA]
learner_0385,0.0679,[SANDBOX DATA]
learner_0386,-0.0603,[SANDBOX DATA]
learner_0387,0.6263,[SANDBOX DATA]
learner_0388,-1.836,[SANDBOX DATA]
learner_0389,-1.0277,[SANDBOX DATA]
learner_0390,0.5055,[SANDBOX DATA]
learner_0391,0.096,[SANDBOX DATA]
learner_0392,0.2008,[SANDBOX DATA]
learner_0393,2.3515,[SANDBOX DATA]
learner_0394,1.1206,[SANDBOX DATA]
learner_0395,0.4826,[SANDBOX DATA]
learner_0396,-0.1077,[SANDBOX DATA]
learner_0397,-0.5056,[SANDBOX DATA]
learner_0398,-0.1593,[SANDBOX DATA]
learner_0399,-0.3752,[SANDBOX DATA]
learner_0400,-0.2545,[SANDBOX DATA]
learner_0401,1.2056,[SANDBOX DATA]
learner_0402,0.3383,[SANDBOX DATA]
learner_0403,-0.3329,[SANDBOX DATA]
learner_0404,-0.7505,[SANDBOX DATA]
learner_0405,0.2657,[SANDBOX DATA]
learner_0406,0.1698,[SANDBOX DATA]
learner_0407,0.3466,[SANDBOX DATA]
learner_0408,-0.9571,[SANDBOX DATA]
learner_0409,0.6594,[SANDBOX DATA]
learner_0410,1.4136,[SANDBOX DATA]
learner_0411,0.2514,[SANDBOX DATA]
learner_0412,-0.4868,[SANDBOX DATA]
learner_0413,0.5032,[SANDBOX DATA]
learner_0414,1.4631,[SANDBOX DATA]
learner_0415,-0.1983,[SANDBOX DATA]
learner_0416,0.2357,[SANDBOX DATA]
learner_0417,0.5379,[SANDBOX DATA]
learner_0418,-0.2087,[SANDBOX DATA]
learner_0419,-0.8007,[SANDBOX DATA]
learner_0420,1.0983,[SANDBOX DATA]
learner_0421,-1.5379,[SANDBOX DATA]
learner_0422,0.41,[SANDBOX DATA]
learner_0423,0.5401,[SANDBOX DATA]
learner_0424,-0.1368,[SANDBOX DATA]
learner_0425,0.4935,[SANDBOX DATA]
learner_0426,-0.1677,[SANDBOX DATA]
learner_0427,0.5965,[SANDBOX DATA]
learner_0428,0.3004,[SANDBOX DATA]
learner_0429,-0.4484,[SANDBOX DATA]
learner_0430,-0.5742,[SANDBOX DATA]
learner_0431,-0.6242,[SANDBOX DATA]
learner_0432,-0.8976,[SANDBOX DATA]
learner_0433,0.6992,[SANDBOX DATA]
learner_0434,0.3047,[SANDBOX DATA]
learner_0435,0.6172,[SANDBOX DATA]
learner_0436,-1.5131,[SANDBOX DATA]
learner_0437,1.2064,[SANDBOX DATA]
learner_0438,0.781,[SANDBOX DATA]
learner_0439,0.3203,[SANDBOX DATA]
learner_0440,-0.2593,[SANDBOX DATA]
learner_0441,-0.4128,[SANDBOX DATA]
learner_0442,-1.163,[SANDBOX DATA]
learner_0443,-1.3512,[SANDBOX DATA]
learner_0444,1.0703,[SANDBOX DATA]
learner_0445,2.1545,[SANDBOX DATA]
learner_0446,0.7077,[SANDBOX DATA]
learner_0447,-0.7556,[SANDBOX DATA]
learner_0448,0.7326,[SANDBOX DATA]
learner_0449,0.3242,[SANDBOX DATA]
learner_0450,0.9253,[SANDBOX DATA]
learner_0451,1.8179,[SANDBOX DATA]
learner_0452,-1.1557,[SANDBOX DATA]
learner_0453,0.3034,[SANDBOX DATA]
learner_0454,1.5736,[SANDBOX DATA]
learner_0455,0.257,[SANDBOX DATA]
learner_0456,-1.3278,[SANDBOX DATA]
learner_0457,-0.4664,[SANDBOX DATA]
learner_0458,-1.5455,[SANDBOX DATA]
learner_0459,-0.5934,[SANDBOX DATA]
learner_0460,1.5832,[SANDBOX DATA]
learner_0461,0.0226,[SANDBOX DATA]
learner_0462,0.4476,[SANDBOX DATA]
learner_0463,1.2342,[SANDBOX DATA]
learner_0464,1.5266,[SANDBOX DATA]
learner_0465,-0.5839,[SANDBOX DATA]
learner_0466,-0.9402,[SANDBOX DATA]
learner_0467,0.0094,[SANDBOX DATA]
learner_0468,-0.7697,[SANDBOX DATA]
learner_0469,-0.2178,[SANDBOX DATA]
learner_0470,-0.9335,[SANDBOX DATA]
learner_0471,-0.63,[SANDBOX DATA]
learner_0472,-0.6896,[SANDBOX DATA]
learner_0473,1.4068,[SANDBOX DATA]
learner_0474,0.4275,[SANDBOX DATA]
learner_0475,1.1176,[SANDBOX DATA]
learner_0476,-0.6851,[SANDBOX DATA]
learner_0477,-0.9461,[SANDBOX DATA]
learner_0478,-0.4577,[SANDBOX DATA]
learner_0479,1.0883,[SANDBOX DATA]
learner_0480,-1.0155,[SANDBOX DATA]
learner_0481,1.6287,[SANDBOX DATA]
learner_0482,2.1604,[SANDBOX DATA]
learner_0483,0.6716,[SANDBOX DATA]
learner_0484,0.4345,[SANDBOX DATA]
learner_0485,-0.3719,[SANDBOX DATA]
learner_0486,-0.698,[SANDBOX DATA]
learner_0487,1.4949,[SANDBOX DATA]
learner_0488,-0.544,[SANDBOX DATA]
learner_0489,-1.1957,[SANDBOX DATA]
learner_0490,0.5258,[SANDBOX DATA]
learner_0491,-0.2524,[SANDBOX DATA]
learner_0492,0.6353,[SANDBOX DATA]
learner_0493,-0.1815,[SANDBOX DATA]
learner_0494,0.3968,[SANDBOX DATA]
learner_0495,-0.1339,[SANDBOX DATA]
learner_0496,0.7737,[SANDBOX DATA]
learner_0497,0.0845,[SANDBOX DATA]
learner_0498,0.9971,[SANDBOX DATA]
learner_0499,0.9094,[SANDBOX DATA]
learner_0500,-0.0915,[SANDBOX DATA]
